ortholog	function	Homo_sapiens	Mus_musculus
ENOG410V9WS	SERTA domain containing 2	ENSP00000326933	ENSMUSP00000090981
ENOG410V9WR	Hydroxyacyl-CoA dehydrogenase	ENSP00000385638	ENSMUSP00000029610
ENOG410V9WQ	Tuberous sclerosis 1	ENSP00000298552	ENSMUSP00000028155
ENOG410V9WP	OTU domain containing	ENSP00000358131, ENSP00000462729, ENSP00000305926	ENSMUSP00000046413, ENSMUSP00000057282
ENOG410V9WZ	Tyrosinase-related protein 1	ENSP00000392762, ENSP00000373570	ENSMUSP00000022725, ENSMUSP00000006151
ENOG410V9WY	Component of oligomeric golgi complex 5	ENSP00000297135	ENSMUSP00000044797
ENOG410V9WX	ATP synthase mitochondrial F1 complex assembly factor 1	ENSP00000361005	ENSMUSP00000135831
ENOG410VEP8	Zinc finger, CCHC domain containing 9	ENSP00000254037	ENSMUSP00000022121
ENOG410VEP9	Zinc finger and BTB domain containing 3	ENSP00000378286	ENSMUSP00000127746
ENOG410VEP3	Lysophospholipase-like 1	ENSP00000355895	ENSMUSP00000048229
ENOG410VEP1	Fibrinogen beta chain	ENSP00000306099	ENSMUSP00000039472
ENOG410VEP4	TAP binding protein (tapasin)	ENSP00000407195, ENSP00000372542, ENSP00000378546, ENSP00000372684, ENSP00000404833	ENSMUSP00000025161
ENOG410VEPR	Zinc finger, matrin-type 5	ENSP00000344241	ENSMUSP00000009220
ENOG410VEPP	aldehyde dehydrogenase 8 family, member A1	ENSP00000265605	ENSMUSP00000038878
ENOG410VEPV	TDP-glucose 4,6-dehydratase	ENSP00000261296	ENSMUSP00000022727
ENOG410VEPT	bradykinin receptor B1	ENSP00000216629	ENSMUSP00000045335
ENOG410VEPU	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSP00000344115	ENSMUSP00000034339
ENOG410VEPJ	Ribosome binding factor A	ENSP00000305696	ENSMUSP00000025462
ENOG410VEPI	G patch domain and ankyrin repeats 1	ENSP00000372926, ENSP00000365057, ENSP00000388586, ENSP00000399890, ENSP00000389339, ENSP00000390746, ENSP00000211377	ENSMUSP00000056646
ENOG410VEPM	Ribosomal protein L11	ENSP00000308897	ENSMUSP00000025836
ENOG410VEPC	taste receptor, type 2	ENSP00000461158, ENSP00000458761, ENSP00000459504, ENSP00000240615, ENSP00000240687, ENSP00000458498	ENSMUSP00000063954
ENOG410VEPA	NOP16 nucleolar protein homolog (Yeast)	ENSP00000373810	ENSMUSP00000026987
ENOG410VEPD	crystallin, beta B1	ENSP00000215939	ENSMUSP00000031286
ENOG410VEPE	Tectonic family member 2	ENSP00000304941	ENSMUSP00000098272
ENOG410V4G9	Elastin microfibril interfacer 1	ENSP00000369677	ENSMUSP00000031055
ENOG410V4G6	deoxyguanosine kinase	ENSP00000264093	ENSMUSP00000014698
ENOG410V4G7	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation	ENSP00000436049	ENSMUSP00000028592
ENOG410V4GP	Kinesin family member	ENSP00000287152, ENSP00000265529	ENSMUSP00000124674, ENSMUSP00000057896
ENOG410V4GV	prostaglandin F2 receptor negative regulator	ENSP00000376899	ENSMUSP00000099755
ENOG410V4GW	FIC domain containing	ENSP00000446479	ENSMUSP00000071719
ENOG410V4GT	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	ENSP00000306397	ENSMUSP00000045284
ENOG410V4GJ	coagulation factor XII (Hageman factor)	ENSP00000372224, ENSP00000253496	ENSMUSP00000021948, ENSMUSP00000030985
ENOG410V4GH	ATP-binding cassette sub-family A ABC1 member	ENSP00000301732, ENSP00000284425, ENSP00000411096, ENSP00000344155, ENSP00000376443, ENSP00000269081, ENSP00000363868, ENSP00000269080, ENSP00000342216, ENSP00000359245, ENSP00000263094, ENSP00000272895	ENSMUSP00000013995, ENSMUSP00000030010, ENSMUSP00000043090, ENSMUSP00000036338, ENSMUSP00000045808, ENSMUSP00000045285, ENSMUSP00000035458, ENSMUSP00000020948, ENSMUSP00000099983, ENSMUSP00000047927, ENSMUSP00000084523, ENSMUSP00000081690, ENSMUSP00000040465
ENOG410V4GB	Protocadherin 17	ENSP00000367151	ENSMUSP00000071325
ENOG410V4GG	Synaptotagmin-like	ENSP00000263033	ENSMUSP00000033608
ENOG410VDKZ	chromosome 1 open reading frame 110	ENSP00000356886	ENSMUSP00000091908
ENOG410VDKS	Leucine rich repeat containing 42	ENSP00000318185	ENSMUSP00000030360
ENOG410VDKQ	Myogenin (Myogenic factor 4)	ENSP00000241651	ENSMUSP00000027730
ENOG410VDK8	Coiled-coil domain containing 111	ENSP00000313816	ENSMUSP00000036119
ENOG410VK8X	chromosome 11 open reading frame 34	ENSP00000341412	ENSMUSP00000110118
ENOG410V43G	BTB POZ domain containing	ENSP00000255608, ENSP00000376337, ENSP00000367471, ENSP00000261721	ENSMUSP00000003434, ENSMUSP00000074864, ENSMUSP00000002880, ENSMUSP00000026093
ENOG410V43D	glutathione synthetase	ENSP00000216951	ENSMUSP00000078630
ENOG410V43E	Microtubule associated monoxygenase, calponin and LIM domain containing	ENSP00000256194, ENSP00000416015	ENSMUSP00000076402, ENSMUSP00000096056, ENSMUSP00000047639
ENOG410V43B	Protein phosphatase 2, regulatory subunit B''	ENSP00000264977, ENSP00000375080	ENSMUSP00000075327
ENOG410V43A	myosin Ie	ENSP00000288235, ENSP00000344871, ENSP00000460038	ENSMUSP00000084887, ENSMUSP00000034745
ENOG410V43N	Leucine-rich repeats and WD repeat domain containing 1	ENSP00000292616	ENSMUSP00000006301
ENOG410V43M	Lipoprotein lipase	ENSP00000309757, ENSP00000261292	ENSMUSP00000015712, ENSMUSP00000066536
ENOG410V43J	collagen, type	ENSP00000264828, ENSP00000359603, ENSP00000448931, ENSP00000448701, ENSP00000297268, ENSP00000348385, ENSP00000447422, ENSP00000447062, ENSP00000225964, ENSP00000369889, ENSP00000304408, ENSP00000360882, ENSP00000363840, ENSP00000448715, ENSP00000449275	ENSMUSP00000028280, ENSMUSP00000029848, ENSMUSP00000031668, ENSMUSP00000084772, ENSMUSP00000085192, ENSMUSP00000089793, ENSMUSP00000001547, ENSMUSP00000004201, ENSMUSP00000043816
ENOG410V43K	DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)	ENSP00000199320	ENSMUSP00000022203
ENOG410V43H	Mitochondrial ribosomal protein S25	ENSP00000253686	ENSMUSP00000114402
ENOG410V43I	Asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)	ENSP00000299626	ENSMUSP00000095901
ENOG410V43V	family with sequence similarity	ENSP00000377807, ENSP00000339207	ENSMUSP00000097152, ENSMUSP00000069112
ENOG410V43W	nitric oxide associated 1	ENSP00000264230	ENSMUSP00000045948
ENOG410V43T	N-terminal asparagine	ENSP00000287706	ENSMUSP00000023362
ENOG410V43U	kiaa0284	ENSP00000404151	ENSMUSP00000098580
ENOG410V43S	Reticulon 4 receptor-like	ENSP00000335397, ENSP00000330631	ENSMUSP00000057725, ENSMUSP00000099572
ENOG410V43P	ddb1 and cul4 associated factor 7	ENSP00000308344	ENSMUSP00000058168
ENOG410V43Q	copine III	ENSP00000329748, ENSP00000198765, ENSP00000411904, ENSP00000317257, ENSP00000216775, ENSP00000290776, ENSP00000244751, ENSP00000373343, ENSP00000268720	ENSMUSP00000049663, ENSMUSP00000029885, ENSMUSP00000073847, ENSMUSP00000042159, ENSMUSP00000105236, ENSMUSP00000045755, ENSMUSP00000024805, ENSMUSP00000067774, ENSMUSP00000044416
ENOG410V43Z	CCR4-NOT transcription complex subunit	ENSP00000355279, ENSP00000285896	ENSMUSP00000034012, ENSMUSP00000020822
ENOG410V43X	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase	ENSP00000436604, ENSP00000376570, ENSP00000348668, ENSP00000447852, ENSP00000364150, ENSP00000269195, ENSP00000376465	ENSMUSP00000028378, ENSMUSP00000000430, ENSMUSP00000063464, ENSMUSP00000045721, ENSMUSP00000125315, ENSMUSP00000056705
ENOG410V43Y	ELAV (embryonic lethal, abnormal vision, Drosophila)-like	ENSP00000352162, ENSP00000349594, ENSP00000385269, ENSP00000369460	ENSMUSP00000003501, ENSMUSP00000102207, ENSMUSP00000096549, ENSMUSP00000099863
ENOG410V7Q0	FERM domain containing	ENSP00000283309	ENSMUSP00000052202
ENOG410V437	This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)	ENSP00000419970	ENSMUSP00000005651
ENOG410V434	mitogen-activated protein kinase kinase kinase	ENSP00000265026, ENSP00000448689	ENSMUSP00000047388, ENSMUSP00000023812
ENOG410V435	hyaluronoglucosaminidase 3	ENSP00000337425, ENSP00000458171	ENSMUSP00000042667
ENOG410V433	bicaudal D homolog	ENSP00000349351, ENSP00000281474	ENSMUSP00000084039, ENSMUSP00000039394
ENOG410V430	translocase of inner mitochondrial membrane 21 homolog (yeast)	ENSP00000169551	ENSMUSP00000025547
ENOG410V431	SH2B adaptor protein	ENSP00000321221, ENSP00000440273, ENSP00000455175	ENSMUSP00000032978, ENSMUSP00000005188
ENOG410V439	Zinc finger protein 622	ENSP00000310042	ENSMUSP00000059678
ENOG410VK87	Ubiquitin-fold modifier 1	ENSP00000239878	ENSMUSP00000118478
ENOG410V7QE	member RAS oncogene family	ENSP00000358466, ENSP00000322594	ENSMUSP00000033545, ENSMUSP00000063804
ENOG410VJWG	immunoglobulin lambda-like polypeptide	ENSP00000431254, ENSP00000329312	ENSMUSP00000097713
ENOG410V5ZH	Transmembrane protease serine 15	ENSP00000284885	ENSMUSP00000023566
ENOG410V5ZI	calpain 2, (m II) large subunit	ENSP00000381758, ENSP00000380349, ENSP00000279247, ENSP00000271971, ENSP00000355837, ENSP00000295006	ENSMUSP00000068895, ENSMUSP00000025891, ENSMUSP00000047164, ENSMUSP00000090717, ENSMUSP00000028749, ENSMUSP00000113132
ENOG410V5ZK	Phosphopantothenoylcysteine synthetase	ENSP00000361642	ENSMUSP00000030385
ENOG410V5ZM	Olfactory receptor	ENSP00000432417	ENSMUSP00000076311, ENSMUSP00000080828, ENSMUSP00000079522, ENSMUSP00000053309
ENOG410V5ZN	calcium binding and coiled-coil domain 1	ENSP00000449960	ENSMUSP00000023818
ENOG410V5ZA	coiled-coil domain containing 19	ENSP00000357079	ENSMUSP00000083057
ENOG410V5ZB	LIM domain containing preferred translocation partner in lipoma	ENSP00000318089, ENSP00000200457	ENSMUSP00000036304, ENSMUSP00000024119
ENOG410V5ZC	FCH domain only	ENSP00000393776, ENSP00000252771	ENSMUSP00000042959
ENOG410V5ZE	eyes absent homolog	ENSP00000333640, ENSP00000342626, ENSP00000347294	ENSMUSP00000126383, ENSMUSP00000090335, ENSMUSP00000066244
ENOG410V5ZF	chromosome 9 open reading frame 24	ENSP00000297623	ENSMUSP00000030152
ENOG410V5ZX	WD repeat domain 3	ENSP00000308179	ENSMUSP00000060613
ENOG410V5ZY	PDZ domain containing RING finger	ENSP00000384197	ENSMUSP00000133159
ENOG410V5ZP	ArfGAP with SH3 domain, ankyrin repeat and PH domain	ENSP00000350297, ENSP00000281419	ENSMUSP00000134825, ENSMUSP00000063217
ENOG410V5ZQ	dehydrogenase reductase SDR family member 7B	ENSP00000378887	ENSMUSP00000044924
ENOG410V5ZR	family with sequence similarity 65, member C	ENSP00000045083	ENSMUSP00000096672
ENOG410V5ZS	ankylosis, progressive homolog (mouse)	ENSP00000284268	ENSMUSP00000022875
ENOG410V5ZT	centrin, EF-hand protein	ENSP00000359300, ENSP00000469720, ENSP00000319052	ENSMUSP00000110198, ENSMUSP00000057392
ENOG410V5ZU	SMYD family member 5	ENSP00000374152	ENSMUSP00000048537
ENOG410V5ZV	origin recognition complex subunit	ENSP00000257789	ENSMUSP00000048319
ENOG410V5ZW	isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae)	ENSP00000417580	ENSMUSP00000076090
ENOG410V5Z8	v-mos Moloney murine sarcoma viral oncogene homolog	ENSP00000310722	ENSMUSP00000100789
ENOG410V5Z9	NADPH oxidase activator 1	ENSP00000342848	ENSMUSP00000037423
ENOG410V5Z1	Alkaline phosphatase	ENSP00000295453, ENSP00000375881, ENSP00000295463, ENSP00000363965	ENSMUSP00000027455, ENSMUSP00000108895, ENSMUSP00000037497, ENSMUSP00000030551
ENOG410V5Z2	Transmembrane protein 182	ENSP00000394178	ENSMUSP00000110413
ENOG410V5Z3	STEAP family member	ENSP00000287908, ENSP00000369419, ENSP00000376822	ENSMUSP00000108258, ENSMUSP00000111081, ENSMUSP00000015797
ENOG410V5Z5	suppressor of defective silencing 3 homolog (S. cerevisiae)	ENSP00000443988	ENSMUSP00000130535
ENOG410V5Z7	CDK5 regulatory subunit associated protein 3	ENSP00000344683	ENSMUSP00000099441
ENOG410VAW7	Farnesyltransferase, CAAX box, alpha	ENSP00000303423	ENSMUSP00000016138
ENOG410VAW6	chromosome 11 open reading frame 70	ENSP00000414390	ENSMUSP00000063450
ENOG410VAW3	Lymphoid-restricted membrane protein	ENSP00000346442	ENSMUSP00000032396
ENOG410VAW1	Cell division cycle associated 7	ENSP00000306968	ENSMUSP00000099752
ENOG410VAW0	Family with sequence similarity 110, member B	ENSP00000355204	ENSMUSP00000062734
ENOG410VAWN	Zinc finger, AN1-type domain 6	ENSP00000261749	ENSMUSP00000069228
ENOG410VAWM	Hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (Trifunctional protein), alpha subunit	ENSP00000370023	ENSMUSP00000120976
ENOG410VAWK	Glycolipid transfer protein	ENSP00000315263	ENSMUSP00000012028
ENOG410VAWI	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity)	ENSP00000392257	ENSMUSP00000101146
ENOG410VAWG	chromosome 2 open reading frame 62	ENSP00000289388	ENSMUSP00000095303
ENOG410VAWF	RAB11 family interacting protein 5 (class I)	ENSP00000258098	ENSMUSP00000058305
ENOG410VAWE	Nipped-B homolog (Drosophila)	ENSP00000282516	ENSMUSP00000059385
ENOG410VAWB	tripartite motif containing 44	ENSP00000299413	ENSMUSP00000099633
ENOG410VAWA	CCHC-type zinc finger, nucleic acid binding protein	ENSP00000410769	ENSMUSP00000032138
ENOG410VAWY	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	ENSP00000321853	ENSMUSP00000048704
ENOG410VAWX	Endonuclease domain containing 1	ENSP00000461026, ENSP00000278505	ENSMUSP00000127751
ENOG410VAWW	GC-rich sequence DNA-binding factor	ENSP00000328992, ENSP00000458262	ENSMUSP00000113835
ENOG410VAWV	pleckstrin homology domain containing, family S member 1	ENSP00000358316	ENSMUSP00000035440
ENOG410VAWU	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	ENSP00000244669	ENSMUSP00000047402
ENOG410VAWT	Transforming growth factor beta regulator 4	ENSP00000258770	ENSMUSP00000000394
ENOG410VAWS	Carbonic anhydrase IX	ENSP00000367608	ENSMUSP00000030183
ENOG410VAWR	Chromosome 1 open reading frame 65	ENSP00000355840	ENSMUSP00000095053
ENOG410VAWQ	Transmembrane protein 106B	ENSP00000400471, ENSP00000379901	ENSMUSP00000031556, ENSMUSP00000069764
ENOG410VAWP	Tripartite motif-containing protein	ENSP00000272395, ENSP00000327604, ENSP00000330216, ENSP00000388299, ENSP00000332969, ENSP00000431987, ENSP00000395086	ENSMUSP00000127527, ENSMUSP00000129255, ENSMUSP00000126594
ENOG410VJIG	cortexin 2	ENSP00000406145	ENSMUSP00000097051
ENOG410VJIJ	Lymphocyte antigen 6 complex, locus G6E	ENSP00000447438, ENSP00000372910, ENSP00000447045, ENSP00000448874, ENSP00000448748, ENSP00000449142	ENSMUSP00000013910
ENOG410VJIW	guanylate cyclase activator 2a (guanylin)	ENSP00000349493	ENSMUSP00000024015
ENOG410VJIS	interleukin 31	ENSP00000366234	ENSMUSP00000031389
ENOG410VJIZ	S100 calcium binding protein A11	ENSP00000271638	ENSMUSP00000029515
ENOG410VJI6	succinate dehydrogenase complex assembly factor 1	ENSP00000368165	ENSMUSP00000096185
ENOG410VJI5	zymogen granule protein 16 homolog B (rat)	ENSP00000371715	ENSMUSP00000024940, ENSMUSP00000085966, ENSMUSP00000064663, ENSMUSP00000111088, ENSMUSP00000024939
ENOG410VJI2	transmembrane protein 239	ENSP00000369959	ENSMUSP00000055299
ENOG410VJI9	Unknown	ENSP00000456064	ENSMUSP00000038976
ENOG410V6J5	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)	ENSP00000355325, ENSP00000364016, ENSP00000394155, ENSP00000402406, ENSP00000406878, ENSP00000414770, ENSP00000372723, ENSP00000406797, ENSP00000404585	ENSMUSP00000022803, ENSMUSP00000025196
ENOG410V6JW	Zinc finger protein	ENSP00000417470, ENSP00000367300	ENSMUSP00000057495
ENOG410V9IE	KIN, antigenic determinant of recA protein homolog (Mouse)	ENSP00000368881	ENSMUSP00000043614
ENOG410V9I6	Ankyrin repeat domain 46	ENSP00000335287	ENSMUSP00000052521
ENOG410VBUR	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	ENSP00000284136	ENSMUSP00000030868
ENOG410VBUP	Transmembrane protein 144	ENSP00000296529	ENSMUSP00000029568
ENOG410VKMS	islet amyloid polypeptide	ENSP00000240652	ENSMUSP00000043956
ENOG410VKMZ	chemokine (C-C motif) ligand 19	ENSP00000308815	ENSMUSP00000111568, ENSMUSP00000100022, ENSMUSP00000137582, ENSMUSP00000126762, ENSMUSP00000137353
ENOG410VKMY	cytochrome c oxidase, subunit VIIIa	ENSP00000321260	ENSMUSP00000040717
ENOG410VKMD	chemokine (C-C motif) ligand 17	ENSP00000219244	ENSMUSP00000034232
ENOG410VKMC	psoriasis susceptibility 1 candidate 2	ENSP00000373022, ENSP00000259845, ENSP00000414952, ENSP00000398734, ENSP00000403456, ENSP00000390931	ENSMUSP00000025273
ENOG410VKMA	catenin beta interacting protein 1	ENSP00000366466	ENSMUSP00000030839
ENOG410V9N9	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSP00000289746	ENSMUSP00000034443
ENOG410V51I	Zinc finger, CCHC domain containing 4	ENSP00000303468	ENSMUSP00000031077
ENOG410V51H	ATPase family, AAA domain containing 1	ENSP00000339016	ENSMUSP00000069962
ENOG410V51K	sphingomyelin synthase	ENSP00000351981, ENSP00000354829	ENSMUSP00000097114, ENSMUSP00000087713
ENOG410V51J	ATPase, class VI, type	ENSP00000357475, ENSP00000283558, ENSP00000332756, ENSP00000284509, ENSP00000321195	ENSMUSP00000088779, ENSMUSP00000099066, ENSMUSP00000103019, ENSMUSP00000103575
ENOG410V51M	Zinc finger, NFX1-type containing 1	ENSP00000360817	ENSMUSP00000049404
ENOG410V51N	ALX homeobox 3	ENSP00000358807	ENSMUSP00000014747
ENOG410V51A	RING finger protein	ENSP00000340979, ENSP00000354571	ENSMUSP00000094396
ENOG410V51D	paraneoplastic Ma antigen	ENSP00000359286, ENSP00000429344, ENSP00000469445	ENSMUSP00000054177, ENSMUSP00000086646
ENOG410V51G	Involved in the biogenesis of the 60S ribosomal subunit (By similarity)	ENSP00000354040	ENSMUSP00000021574
ENOG410V51F	transmembrane protein 70	ENSP00000312599	ENSMUSP00000135483
ENOG410V51Y	GTPase, IMAP family member	ENSP00000302833, ENSP00000223293	ENSMUSP00000062108
ENOG410V51Z	prodynorphin	ENSP00000217305	ENSMUSP00000028883
ENOG410V51Q	N-terminal EF-hand calcium binding protein	ENSP00000387380, ENSP00000307449, ENSP00000246190	ENSMUSP00000000895, ENSMUSP00000038165, ENSMUSP00000095966
ENOG410V51S	oxysterol binding protein-like	ENSP00000315410, ENSP00000007414, ENSP00000376293	ENSMUSP00000087474, ENSMUSP00000110112, ENSMUSP00000077123
ENOG410V51U	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Also essential during biosynthesis of the molybdenum cofactor. Acts by mediating the C-terminal thiocarboxylation of sulfur carriers urm1 and mocs2a. Its N-terminus first activates urm1 and mocs2a as acyl-adenylates (-COAMP), then the persulfide sulfur on the catalytic cysteine is transferred to urm1 and mocs2a to form thiocarboxylation (-COSH) of their C-terminus. The reaction probably involves hydrogen sulfide that is generated from the persulfide intermediate and that acts as nucleophile towards urm1 and mocs2a. Subsequently, a transient disulfide bond is formed. Does not use thiosulfate as sulfur donor	ENSP00000244051	ENSMUSP00000096670
ENOG410V51V	sperm-tail PG-rich repeat containing 1	ENSP00000337461	ENSMUSP00000067647
ENOG410V9NY	n-acetylglutamate synthase	ENSP00000293404	ENSMUSP00000050258
ENOG410V519	Olfactory receptor	ENSP00000399592, ENSP00000399062, ENSP00000403427, ENSP00000404787, ENSP00000373141, ENSP00000392324, ENSP00000366352, ENSP00000373043	ENSMUSP00000065196, ENSMUSP00000054070, ENSMUSP00000094186, ENSMUSP00000077338, ENSMUSP00000086263
ENOG410V518	Angel homolog	ENSP00000251089, ENSP00000355929	ENSMUSP00000021682, ENSMUSP00000064556
ENOG410V511	dephospho-CoA kinase domain containing	ENSP00000341504	ENSMUSP00000021313
ENOG410V510	Tubulin tyrosine ligase-like family, member	ENSP00000345294, ENSP00000260505, ENSP00000377043	ENSMUSP00000062795, ENSMUSP00000127778, ENSMUSP00000129369
ENOG410V513	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSP00000350720, ENSP00000239027, ENSP00000265773	ENSMUSP00000025965, ENSMUSP00000025862, ENSMUSP00000096547
ENOG410V512	Solute carrier family 13	ENSP00000406220, ENSP00000297282, ENSP00000461823, ENSP00000392411, ENSP00000279027, ENSP00000194130	ENSMUSP00000031868, ENSMUSP00000029208, ENSMUSP00000031713, ENSMUSP00000021161, ENSMUSP00000001122
ENOG410V515	kiaa1279	ENSP00000354848	ENSMUSP00000065160
ENOG410V514	Eph receptor B6	ENSP00000376684, ENSP00000457802	ENSMUSP00000110380
ENOG410V517	matrix metallopeptidase 23B	ENSP00000348308	ENSMUSP00000030937
ENOG410V516	cholinergic receptor, nicotinic	ENSP00000299565, ENSP00000289957	ENSMUSP00000052297, ENSMUSP00000091365
ENOG410V62X	doublecortin-like kinase	ENSP00000303887, ENSP00000255448, ENSP00000394484	ENSMUSP00000107510, ENSMUSP00000050034, ENSMUSP00000029719
ENOG410V62U	Transmembrane protein 82	ENSP00000364938	ENSMUSP00000058412
ENOG410V62J	kelch-like 2, Mayven (Drosophila)	ENSP00000424198, ENSP00000312397	ENSMUSP00000034017, ENSMUSP00000089173
ENOG410V62H	PARK2 co-regulated	ENSP00000337946	ENSMUSP00000044376
ENOG410V62F	Ras-related C3 botulinum toxin substrate	ENSP00000348461, ENSP00000249071, ENSP00000304283	ENSMUSP00000079380, ENSMUSP00000036384, ENSMUSP00000018156
ENOG410V62B	MGA, MAX dimerization protein	ENSP00000219905	ENSMUSP00000106401
ENOG410V628	vacuolar protein sorting 37 homolog C (S. cerevisiae)	ENSP00000301765	ENSMUSP00000085264
ENOG410V4NU	mitochondrial calcium uniporter	ENSP00000362144	ENSMUSP00000020312
ENOG410V4NT	erythrocyte membrane protein band 4.1-like	ENSP00000337168, ENSP00000341138, ENSP00000338481	ENSMUSP00000079098, ENSMUSP00000055122, ENSMUSP00000029155
ENOG410V4NC	R3H domain containing 1	ENSP00000264160	ENSMUSP00000043103
ENOG410V4ND	zinc finger SWIM-type containing 2	ENSP00000295131	ENSMUSP00000044913
ENOG410V4NG	programmed cell death 1	ENSP00000335062	ENSMUSP00000027507
ENOG410V4NF	ADP-ribosylation factor-like	ENSP00000256496, ENSP00000272217	ENSMUSP00000027684, ENSMUSP00000032196
ENOG410V4NH	ATP-binding cassette, subfamily B (MDR TAP), member	ENSP00000351717, ENSP00000355637	ENSMUSP00000075011, ENSMUSP00000072826
