ortholog	function	Pan_troglodytes	Mus_musculus
ENOG410V4G9	Elastin microfibril interfacer 1	ENSPTRP00000020186	ENSMUSP00000031055
ENOG410V4G6	deoxyguanosine kinase	ENSPTRP00000020717	ENSMUSP00000014698
ENOG410V4G7	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation	ENSPTRP00000006042	ENSMUSP00000028592
ENOG410V4GP	Kinesin family member	ENSPTRP00000025631, ENSPTRP00000030982	ENSMUSP00000124674, ENSMUSP00000057896
ENOG410V4GV	prostaglandin F2 receptor negative regulator	ENSPTRP00000001983	ENSMUSP00000099755
ENOG410V4GW	FIC domain containing	ENSPTRP00000009167	ENSMUSP00000071719
ENOG410V4GT	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	ENSPTRP00000024815, ENSPTRP00000018458	ENSMUSP00000045284
ENOG410V4GJ	coagulation factor XII (Hageman factor)	ENSPTRP00000027328, ENSPTRP00000030035	ENSMUSP00000030985, ENSMUSP00000021948
ENOG410V4GH	ATP-binding cassette sub-family A ABC1 member	ENSPTRP00000044984, ENSPTRP00000032770, ENSPTRP00000042439, ENSPTRP00000049117, ENSPTRP00000016286, ENSPTRP00000016272, ENSPTRP00000022036, ENSPTRP00000016277, ENSPTRP00000013070	ENSMUSP00000013995, ENSMUSP00000081690, ENSMUSP00000045808, ENSMUSP00000036338, ENSMUSP00000099983, ENSMUSP00000043090, ENSMUSP00000045285, ENSMUSP00000047927, ENSMUSP00000040465, ENSMUSP00000030010, ENSMUSP00000035458, ENSMUSP00000020948, ENSMUSP00000084523
ENOG410V4GB	Protocadherin 17	ENSPTRP00000053479	ENSMUSP00000071325
ENOG410V4GG	Synaptotagmin-like	ENSPTRP00000038001	ENSMUSP00000033608
ENOG410VDKZ	chromosome 1 open reading frame 110	ENSPTRP00000051598	ENSMUSP00000091908
ENOG410VDKS	Leucine rich repeat containing 42	ENSPTRP00000040415	ENSMUSP00000030360
ENOG410VDKQ	Myogenin (Myogenic factor 4)	ENSPTRP00000044084	ENSMUSP00000027730
ENOG410VDK8	Coiled-coil domain containing 111	ENSPTRP00000028539	ENSMUSP00000036119
ENOG410VK8X	chromosome 11 open reading frame 34	ENSPTRP00000007365	ENSMUSP00000110118
ENOG410V43G	BTB POZ domain containing	ENSPTRP00000012623, ENSPTRP00000022731	ENSMUSP00000026093, ENSMUSP00000002880, ENSMUSP00000003434, ENSMUSP00000074864
ENOG410V43D	glutathione synthetase	ENSPTRP00000023030	ENSMUSP00000078630
ENOG410V43E	Microtubule associated monoxygenase, calponin and LIM domain containing	ENSPTRP00000024188, ENSPTRP00000005885	ENSMUSP00000096056, ENSMUSP00000047639, ENSMUSP00000076402
ENOG410V43B	Protein phosphatase 2, regulatory subunit B''	ENSPTRP00000026587	ENSMUSP00000075327
ENOG410V43A	myosin Ie	ENSPTRP00000049036, ENSPTRP00000012180	ENSMUSP00000084887, ENSMUSP00000034745
ENOG410V43N	Leucine-rich repeats and WD repeat domain containing 1	ENSPTRP00000033454	ENSMUSP00000006301
ENOG410V43M	Lipoprotein lipase	ENSPTRP00000017022, ENSPTRP00000034315	ENSMUSP00000015712, ENSMUSP00000066536
ENOG410V43J	collagen, type	ENSPTRP00000017783, ENSPTRP00000041995, ENSPTRP00000036359, ENSPTRP00000033204, ENSPTRP00000047036	ENSMUSP00000085192, ENSMUSP00000089793, ENSMUSP00000029848, ENSMUSP00000001547, ENSMUSP00000043816, ENSMUSP00000031668, ENSMUSP00000028280, ENSMUSP00000084772, ENSMUSP00000004201
ENOG410V43K	DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)	ENSPTRP00000028961	ENSMUSP00000022203
ENOG410V43H	Mitochondrial ribosomal protein S25	ENSPTRP00000025285	ENSMUSP00000114402
ENOG410V43I	Asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)	ENSPTRP00000007077	ENSMUSP00000095901
ENOG410V43V	family with sequence similarity	ENSPTRP00000038400	ENSMUSP00000069112, ENSMUSP00000097152
ENOG410V43W	nitric oxide associated 1	ENSPTRP00000027668	ENSMUSP00000045948
ENOG410V43T	N-terminal asparagine	ENSPTRP00000013307	ENSMUSP00000023362
ENOG410V43U	kiaa0284	ENSPTRP00000011575	ENSMUSP00000098580
ENOG410V43S	Reticulon 4 receptor-like	ENSPTRP00000014575	ENSMUSP00000099572, ENSMUSP00000057725
ENOG410V43P	ddb1 and cul4 associated factor 7	ENSPTRP00000016155	ENSMUSP00000058168
ENOG410V43Q	copine III	ENSPTRP00000030935, ENSPTRP00000057407, ENSPTRP00000025159, ENSPTRP00000010504, ENSPTRP00000008242, ENSPTRP00000045244, ENSPTRP00000013913, ENSPTRP00000034892	ENSMUSP00000024805, ENSMUSP00000045755, ENSMUSP00000049663, ENSMUSP00000073847, ENSMUSP00000029885, ENSMUSP00000067774, ENSMUSP00000042159, ENSMUSP00000105236, ENSMUSP00000044416
ENOG410V43Z	CCR4-NOT transcription complex subunit	ENSPTRP00000029810, ENSPTRP00000061148	ENSMUSP00000034012, ENSMUSP00000020822
ENOG410V43X	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase	ENSPTRP00000008459, ENSPTRP00000049150, ENSPTRP00000016954, ENSPTRP00000043056, ENSPTRP00000021512	ENSMUSP00000063464, ENSMUSP00000045721, ENSMUSP00000125315, ENSMUSP00000000430, ENSMUSP00000056705, ENSMUSP00000028378
ENOG410V43Y	ELAV (embryonic lethal, abnormal vision, Drosophila)-like	ENSPTRP00000001244, ENSPTRP00000017713, ENSPTRP00000035622, ENSPTRP00000017919	ENSMUSP00000003501, ENSMUSP00000099863, ENSMUSP00000102207, ENSMUSP00000096549
ENOG410V7Q0	FERM domain containing	ENSPTRP00000032127	ENSMUSP00000052202
ENOG410V437	This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)	ENSPTRP00000033034	ENSMUSP00000005651
ENOG410V434	mitogen-activated protein kinase kinase kinase	ENSPTRP00000008543, ENSPTRP00000027014	ENSMUSP00000023812, ENSMUSP00000047388
ENOG410V435	hyaluronoglucosaminidase 3	ENSPTRP00000025808	ENSMUSP00000042667
ENOG410V433	bicaudal D homolog	ENSPTRP00000036084, ENSPTRP00000050152	ENSMUSP00000084039, ENSMUSP00000039394
ENOG410V430	translocase of inner mitochondrial membrane 21 homolog (yeast)	ENSPTRP00000017178	ENSMUSP00000025547
ENOG410V431	SH2B adaptor protein	ENSPTRP00000033449, ENSPTRP00000053639	ENSMUSP00000032978, ENSMUSP00000005188
ENOG410V439	Zinc finger protein 622	ENSPTRP00000028727	ENSMUSP00000059678
ENOG410VK87	Ubiquitin-fold modifier 1	ENSPTRP00000059765	ENSMUSP00000118478
ENOG410V7QE	member RAS oncogene family	ENSPTRP00000007306, ENSPTRP00000060322	ENSMUSP00000063804, ENSMUSP00000033545
ENOG410VJWG	immunoglobulin lambda-like polypeptide	ENSPTRP00000060622	ENSMUSP00000097713
ENOG410V5ZH	Transmembrane protease serine 15	ENSPTRP00000023779	ENSMUSP00000023566
ENOG410V5ZI	calpain 2, (m II) large subunit	ENSPTRP00000003544, ENSPTRP00000006670, ENSPTRP00000056265, ENSPTRP00000058028, ENSPTRP00000003379	ENSMUSP00000028749, ENSMUSP00000090717, ENSMUSP00000025891, ENSMUSP00000068895, ENSMUSP00000047164, ENSMUSP00000113132
ENOG410V5ZK	Phosphopantothenoylcysteine synthetase	ENSPTRP00000052446	ENSMUSP00000030385
ENOG410V5ZM	Olfactory receptor	ENSPTRP00000006297	ENSMUSP00000076311, ENSMUSP00000053309, ENSMUSP00000079522, ENSMUSP00000080828
ENOG410V5ZN	calcium binding and coiled-coil domain 1	ENSPTRP00000043174	ENSMUSP00000023818
ENOG410V5ZA	coiled-coil domain containing 19	ENSPTRP00000057675	ENSMUSP00000083057
ENOG410V5ZB	LIM domain containing preferred translocation partner in lipoma	ENSPTRP00000033404, ENSPTRP00000027063	ENSMUSP00000024119, ENSMUSP00000036304
ENOG410V5ZC	FCH domain only	ENSPTRP00000029078, ENSPTRP00000018230	ENSMUSP00000042959
ENOG410V5ZE	eyes absent homolog	ENSPTRP00000031782, ENSPTRP00000023365, ENSPTRP00000034805	ENSMUSP00000066244, ENSMUSP00000126383, ENSMUSP00000090335
ENOG410V5ZF	chromosome 9 open reading frame 24	ENSPTRP00000035709	ENSMUSP00000030152
ENOG410V5ZX	WD repeat domain 3	ENSPTRP00000001997	ENSMUSP00000060613
ENOG410V5ZY	PDZ domain containing RING finger	ENSPTRP00000026085, ENSPTRP00000050174	ENSMUSP00000133159
ENOG410V5ZP	ArfGAP with SH3 domain, ankyrin repeat and PH domain	ENSPTRP00000020009, ENSPTRP00000035200	ENSMUSP00000134825, ENSMUSP00000063217
ENOG410V5ZQ	dehydrogenase reductase SDR family member 7B	ENSPTRP00000015173	ENSMUSP00000044924
ENOG410V5ZR	family with sequence similarity 65, member C	ENSPTRP00000023427	ENSMUSP00000096672
ENOG410V5ZS	ankylosis, progressive homolog (mouse)	ENSPTRP00000028723	ENSMUSP00000022875
ENOG410V5ZT	centrin, EF-hand protein	ENSPTRP00000049475, ENSPTRP00000038570	ENSMUSP00000057392, ENSMUSP00000110198
ENOG410V5ZU	SMYD family member 5	ENSPTRP00000020694	ENSMUSP00000048537
ENOG410V5ZV	origin recognition complex subunit	ENSPTRP00000031448	ENSMUSP00000048319
ENOG410V5ZW	isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae)	ENSPTRP00000020017	ENSMUSP00000076090
ENOG410V5Z8	v-mos Moloney murine sarcoma viral oncogene homolog	ENSPTRP00000034701	ENSMUSP00000100789
ENOG410V5Z9	NADPH oxidase activator 1	ENSPTRP00000043465	ENSMUSP00000037423
ENOG410V5Z1	Alkaline phosphatase	ENSPTRP00000000520, ENSPTRP00000022289, ENSPTRP00000022287	ENSMUSP00000037497, ENSMUSP00000030551, ENSMUSP00000108895, ENSMUSP00000027455
ENOG410V5Z2	Transmembrane protein 182	ENSPTRP00000021083	ENSMUSP00000110413
ENOG410V5Z3	STEAP family member	ENSPTRP00000047880, ENSPTRP00000033152, ENSPTRP00000021230	ENSMUSP00000108258, ENSMUSP00000111081, ENSMUSP00000015797
ENOG410V5Z5	suppressor of defective silencing 3 homolog (S. cerevisiae)	ENSPTRP00000009363	ENSMUSP00000130535
ENOG410V5Z7	CDK5 regulatory subunit associated protein 3	ENSPTRP00000060664	ENSMUSP00000099441
ENOG410VAW6	chromosome 11 open reading frame 70	ENSPTRP00000007245	ENSMUSP00000063450
ENOG410VAW3	Lymphoid-restricted membrane protein	ENSPTRP00000044240	ENSMUSP00000032396
ENOG410VAW1	Cell division cycle associated 7	ENSPTRP00000021608	ENSMUSP00000099752
ENOG410VAW0	Family with sequence similarity 110, member B	ENSPTRP00000034709	ENSMUSP00000062734
ENOG410VAWN	Zinc finger, AN1-type domain 6	ENSPTRP00000012581	ENSMUSP00000069228
ENOG410VAWM	Hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (Trifunctional protein), alpha subunit	ENSPTRP00000020159	ENSMUSP00000120976
ENOG410VAWK	Glycolipid transfer protein	ENSPTRP00000049917, ENSPTRP00000060721	ENSMUSP00000012028
ENOG410VAWI	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity)	ENSPTRP00000031569	ENSMUSP00000101146
ENOG410VAWG	chromosome 2 open reading frame 62	ENSPTRP00000022080	ENSMUSP00000095303
ENOG410VAWF	RAB11 family interacting protein 5 (class I)	ENSPTRP00000020693	ENSMUSP00000058305
ENOG410VAWE	Nipped-B homolog (Drosophila)	ENSPTRP00000048198	ENSMUSP00000059385
ENOG410VAWB	tripartite motif containing 44	ENSPTRP00000006087	ENSMUSP00000099633
ENOG410VAWA	CCHC-type zinc finger, nucleic acid binding protein	ENSPTRP00000026477	ENSMUSP00000032138
ENOG410VAWY	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	ENSPTRP00000014569	ENSMUSP00000048704
ENOG410VAWX	Endonuclease domain containing 1	ENSPTRP00000060757	ENSMUSP00000127751
ENOG410VAWW	GC-rich sequence DNA-binding factor	ENSPTRP00000023857	ENSMUSP00000113835
ENOG410VAWV	pleckstrin homology domain containing, family S member 1	ENSPTRP00000005219	ENSMUSP00000035440
ENOG410VAWU	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	ENSPTRP00000050168	ENSMUSP00000047402
ENOG410VAWT	Transforming growth factor beta regulator 4	ENSPTRP00000032737	ENSMUSP00000000394
ENOG410VAWS	Carbonic anhydrase IX	ENSPTRP00000035776	ENSMUSP00000030183
ENOG410VAWR	Chromosome 1 open reading frame 65	ENSPTRP00000003377	ENSMUSP00000095053
ENOG410VAWQ	Transmembrane protein 106B	ENSPTRP00000008323, ENSPTRP00000032355	ENSMUSP00000069764, ENSMUSP00000031556
ENOG410VAWP	Tripartite motif-containing protein	ENSPTRP00000059923, ENSPTRP00000054547, ENSPTRP00000006240, ENSPTRP00000007166, ENSPTRP00000040843, ENSPTRP00000006229, ENSPTRP00000051815, ENSPTRP00000006238	ENSMUSP00000129255, ENSMUSP00000127527, ENSMUSP00000126594
ENOG410VJIG	cortexin 2	ENSPTRP00000061391	ENSMUSP00000097051
ENOG410VJIJ	Lymphocyte antigen 6 complex, locus G6E	ENSPTRP00000030683	ENSMUSP00000013910
ENOG410VJIW	guanylate cyclase activator 2a (guanylin)	ENSPTRP00000043872	ENSMUSP00000024015
ENOG410VJIS	interleukin 31	ENSPTRP00000049840	ENSMUSP00000031389
ENOG410VJIZ	S100 calcium binding protein A11	ENSPTRP00000002223	ENSMUSP00000029515
ENOG410VJI6	succinate dehydrogenase complex assembly factor 1	ENSPTRP00000048782	ENSMUSP00000096185
ENOG410VJI5	zymogen granule protein 16 homolog B (rat)	ENSPTRP00000013095	ENSMUSP00000024939, ENSMUSP00000111088, ENSMUSP00000064663, ENSMUSP00000024940, ENSMUSP00000085966
ENOG410VJI2	transmembrane protein 239	ENSPTRP00000022575	ENSMUSP00000055299
ENOG410V6J5	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)	ENSPTRP00000010438, ENSPTRP00000030774	ENSMUSP00000025196, ENSMUSP00000022803
ENOG410V6JW	Zinc finger protein	ENSPTRP00000047574, ENSPTRP00000033975	ENSMUSP00000057495
ENOG410V9IE	KIN, antigenic determinant of recA protein homolog (Mouse)	ENSPTRP00000003854	ENSMUSP00000043614
ENOG410V9I6	Ankyrin repeat domain 46	ENSPTRP00000035010	ENSMUSP00000052521
ENOG410VBUR	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	ENSPTRP00000033108	ENSMUSP00000030868
ENOG410VBUP	Transmembrane protein 144	ENSPTRP00000028413	ENSMUSP00000029568
ENOG410VKMS	islet amyloid polypeptide	ENSPTRP00000008119	ENSMUSP00000043956
ENOG410VKMZ	chemokine (C-C motif) ligand 19	ENSPTRP00000035734	ENSMUSP00000126762, ENSMUSP00000137353, ENSMUSP00000137582, ENSMUSP00000100022, ENSMUSP00000111568
ENOG410VKMY	cytochrome c oxidase, subunit VIIIa	ENSPTRP00000006561	ENSMUSP00000040717
ENOG410VKMD	chemokine (C-C motif) ligand 17	ENSPTRP00000013921	ENSMUSP00000034232
ENOG410VKMC	psoriasis susceptibility 1 candidate 2	ENSPTRP00000030626	ENSMUSP00000025273
ENOG410VKMA	catenin beta interacting protein 1	ENSPTRP00000045832	ENSMUSP00000030839
ENOG410V9N9	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSPTRP00000014447	ENSMUSP00000034443
ENOG410V51I	Zinc finger, CCHC domain containing 4	ENSPTRP00000027482	ENSMUSP00000031077
ENOG410V51H	ATPase family, AAA domain containing 1	ENSPTRP00000004742	ENSMUSP00000069962
ENOG410V51K	sphingomyelin synthase	ENSPTRP00000004317, ENSPTRP00000041167	ENSMUSP00000097114, ENSMUSP00000087713
ENOG410V51J	ATPase, class VI, type	ENSPTRP00000038477, ENSPTRP00000010278, ENSPTRP00000012069, ENSPTRP00000040761, ENSPTRP00000026946	ENSMUSP00000088779, ENSMUSP00000103019, ENSMUSP00000099066, ENSMUSP00000103575
ENOG410V51M	Zinc finger, NFX1-type containing 1	ENSPTRP00000023404	ENSMUSP00000049404
ENOG410V51N	ALX homeobox 3	ENSPTRP00000001851	ENSMUSP00000014747
ENOG410V51A	RING finger protein	ENSPTRP00000045260, ENSPTRP00000028380	ENSMUSP00000094396
ENOG410V51D	paraneoplastic Ma antigen	ENSPTRP00000039091, ENSPTRP00000060783	ENSMUSP00000054177, ENSMUSP00000086646
ENOG410V51G	Involved in the biogenesis of the 60S ribosomal subunit (By similarity)	ENSPTRP00000003778	ENSMUSP00000021574
ENOG410V51F	transmembrane protein 70	ENSPTRP00000034830	ENSMUSP00000135483
ENOG410V51Y	GTPase, IMAP family member	ENSPTRP00000049047, ENSPTRP00000047559	ENSMUSP00000062108
ENOG410V51Z	prodynorphin	ENSPTRP00000022551	ENSMUSP00000028883
ENOG410V51Q	N-terminal EF-hand calcium binding protein	ENSPTRP00000014345, ENSPTRP00000034912, ENSPTRP00000022978	ENSMUSP00000000895, ENSMUSP00000038165, ENSMUSP00000095966
ENOG410V51S	oxysterol binding protein-like	ENSPTRP00000042073, ENSPTRP00000059063, ENSPTRP00000032463	ENSMUSP00000110112, ENSMUSP00000087474, ENSMUSP00000077123
ENOG410V51U	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Also essential during biosynthesis of the molybdenum cofactor. Acts by mediating the C-terminal thiocarboxylation of sulfur carriers urm1 and mocs2a. Its N-terminus first activates urm1 and mocs2a as acyl-adenylates (-COAMP), then the persulfide sulfur on the catalytic cysteine is transferred to urm1 and mocs2a to form thiocarboxylation (-COSH) of their C-terminus. The reaction probably involves hydrogen sulfide that is generated from the persulfide intermediate and that acts as nucleophile towards urm1 and mocs2a. Subsequently, a transient disulfide bond is formed. Does not use thiosulfate as sulfur donor	ENSPTRP00000023439	ENSMUSP00000096670
ENOG410V51V	sperm-tail PG-rich repeat containing 1	ENSPTRP00000000603	ENSMUSP00000067647
ENOG410V9NY	n-acetylglutamate synthase	ENSPTRP00000015750	ENSMUSP00000050258
ENOG410V519	Olfactory receptor	ENSPTRP00000057876	ENSMUSP00000086263, ENSMUSP00000094186, ENSMUSP00000077338, ENSMUSP00000065196, ENSMUSP00000054070
ENOG410V518	Angel homolog	ENSPTRP00000011160, ENSPTRP00000003315	ENSMUSP00000064556, ENSMUSP00000021682
ENOG410V511	dephospho-CoA kinase domain containing	ENSPTRP00000015800	ENSMUSP00000021313
ENOG410V510	Tubulin tyrosine ligase-like family, member	ENSPTRP00000058601, ENSPTRP00000051272, ENSPTRP00000001552	ENSMUSP00000127778, ENSMUSP00000062795, ENSMUSP00000129369
ENOG410V513	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSPTRP00000017884, ENSPTRP00000004849	ENSMUSP00000096547, ENSMUSP00000025862, ENSMUSP00000025965
ENOG410V512	Solute carrier family 13	ENSPTRP00000023355, ENSPTRP00000015222, ENSPTRP00000033626, ENSPTRP00000014756, ENSPTRP00000033801	ENSMUSP00000021161, ENSMUSP00000001122, ENSMUSP00000029208, ENSMUSP00000031713, ENSMUSP00000031868
ENOG410V515	kiaa1279	ENSPTRP00000046030	ENSMUSP00000065160
ENOG410V514	Eph receptor B6	ENSPTRP00000033908	ENSMUSP00000110380
ENOG410V517	matrix metallopeptidase 23B	ENSPTRP00000000055	ENSMUSP00000030937
ENOG410V516	cholinergic receptor, nicotinic	ENSPTRP00000012554, ENSPTRP00000054732	ENSMUSP00000052297, ENSMUSP00000091365
ENOG410V62X	doublecortin-like kinase	ENSPTRP00000028330, ENSPTRP00000025422, ENSPTRP00000009841	ENSMUSP00000107510, ENSMUSP00000029719, ENSMUSP00000050034
ENOG410V62U	Transmembrane protein 82	ENSPTRP00000052806	ENSMUSP00000058412
ENOG410V62J	kelch-like 2, Mayven (Drosophila)	ENSPTRP00000053274, ENSPTRP00000029536	ENSMUSP00000089173, ENSMUSP00000034017
ENOG410V62F	Ras-related C3 botulinum toxin substrate	ENSPTRP00000043196	ENSMUSP00000079380, ENSMUSP00000036384, ENSMUSP00000018156
ENOG410V62B	MGA, MAX dimerization protein	ENSPTRP00000011861	ENSMUSP00000106401
ENOG410V628	vacuolar protein sorting 37 homolog C (S. cerevisiae)	ENSPTRP00000060557	ENSMUSP00000085264
ENOG410V4NU	mitochondrial calcium uniporter	ENSPTRP00000039641	ENSMUSP00000020312
ENOG410V4NT	erythrocyte membrane protein band 4.1-like	ENSPTRP00000031744, ENSPTRP00000023095, ENSPTRP00000016756	ENSMUSP00000079098, ENSMUSP00000029155, ENSMUSP00000055122
ENOG410V4NC	R3H domain containing 1	ENSPTRP00000021375	ENSMUSP00000043103
ENOG410V4ND	zinc finger SWIM-type containing 2	ENSPTRP00000048968	ENSMUSP00000044913
ENOG410V4NF	ADP-ribosylation factor-like	ENSPTRP00000025125	ENSMUSP00000032196, ENSMUSP00000027684
ENOG410V4NH	ATP-binding cassette, subfamily B (MDR TAP), member	ENSPTRP00000003536, ENSPTRP00000045424	ENSMUSP00000072826, ENSMUSP00000075011
