#ortholog	function	species_a	species_b
ENOG410V43H	Mitochondrial ribosomal protein S25	ENSP00000253686	GB14778-PA
ENOG410V43I	Asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)	ENSP00000299626	GB14100-PA
ENOG410V43W	nitric oxide associated 1	ENSP00000264230	GB19759-PA
ENOG410V43T	N-terminal asparagine	ENSP00000287706	GB10784-PA
ENOG410V43P	ddb1 and cul4 associated factor 7	ENSP00000308344	GB13265-PA
ENOG410V43Z	CCR4-NOT transcription complex subunit	ENSP00000355279, ENSP00000285896	GB17302-PA
ENOG410V43X	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase	ENSP00000348668, ENSP00000436604, ENSP00000376570, ENSP00000447852, ENSP00000364150, ENSP00000269195, ENSP00000376465	GB18068-PA, GB16373-PA, GB13681-PA
ENOG410V43Y	ELAV (embryonic lethal, abnormal vision, Drosophila)-like	ENSP00000349594, ENSP00000369460, ENSP00000352162, ENSP00000385269	GB18785-PA
ENOG410V7Q0	FERM domain containing	ENSP00000283309	GB18620-PA
ENOG410V437	This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)	ENSP00000419970	GB19444-PA
ENOG410V434	mitogen-activated protein kinase kinase kinase	ENSP00000448689, ENSP00000265026	GB13153-PA
ENOG410V433	bicaudal D homolog	ENSP00000349351, ENSP00000281474	GB16687-PA
ENOG410V431	SH2B adaptor protein	ENSP00000455175, ENSP00000321221, ENSP00000440273	GB15730-PA
ENOG410V439	Zinc finger protein 622	ENSP00000310042	GB16154-PA
ENOG410VK87	Ubiquitin-fold modifier 1	ENSP00000239878	GB10591-PA
ENOG410V7QE	member RAS oncogene family	ENSP00000358466, ENSP00000322594	GB15215-PA
ENOG410V5ZH	Transmembrane protease serine 15	ENSP00000284885	GB17654-PA
ENOG410V5ZI	calpain 2, (m II) large subunit	ENSP00000279247, ENSP00000295006, ENSP00000381758, ENSP00000380349, ENSP00000355837, ENSP00000271971	GB15925-PA, GB10365-PA
ENOG410V5ZK	Phosphopantothenoylcysteine synthetase	ENSP00000361642	GB14583-PA
ENOG410V5ZA	coiled-coil domain containing 19	ENSP00000357079	GB14447-PA
ENOG410V5ZB	LIM domain containing preferred translocation partner in lipoma	ENSP00000200457, ENSP00000318089	GB15339-PA
ENOG410V5ZC	FCH domain only	ENSP00000393776, ENSP00000252771	GB10799-PA
ENOG410V5ZE	eyes absent homolog	ENSP00000342626, ENSP00000333640, ENSP00000347294	GB11435-PA
ENOG410V5ZX	WD repeat domain 3	ENSP00000308179	GB15856-PA
ENOG410V5ZY	PDZ domain containing RING finger	ENSP00000384197	GB10280-PA
ENOG410V5ZP	ArfGAP with SH3 domain, ankyrin repeat and PH domain	ENSP00000350297, ENSP00000281419	GB10388-PA
ENOG410V5ZQ	dehydrogenase reductase SDR family member 7B	ENSP00000378887	GB17863-PA
ENOG410V5ZT	centrin, EF-hand protein	ENSP00000469720, ENSP00000319052, ENSP00000359300	GB10266-PA
ENOG410V5ZU	SMYD family member 5	ENSP00000374152	GB13751-PA
ENOG410V5ZV	origin recognition complex subunit	ENSP00000257789	GB11141-PA
ENOG410V5Z8	v-mos Moloney murine sarcoma viral oncogene homolog	ENSP00000310722	GB12115-PA
ENOG410V5Z1	Alkaline phosphatase	ENSP00000295453, ENSP00000375881, ENSP00000295463, ENSP00000363965	GB16820-PA, GB18702-PA, GB13388-PA
ENOG410V5Z5	suppressor of defective silencing 3 homolog (S. cerevisiae)	ENSP00000443988	GB12971-PA
ENOG410V5Z7	CDK5 regulatory subunit associated protein 3	ENSP00000344683	GB17451-PA
ENOG410VAW7	Farnesyltransferase, CAAX box, alpha	ENSP00000303423	GB10315-PA
ENOG410VAW6	chromosome 11 open reading frame 70	ENSP00000414390	GB19146-PA
ENOG410VAW3	Lymphoid-restricted membrane protein	ENSP00000346442	GB12624-PA
ENOG410VAW1	Cell division cycle associated 7	ENSP00000306968	GB15370-PA
ENOG410VAWM	Hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (Trifunctional protein), alpha subunit	ENSP00000370023	GB16864-PA
ENOG410VAWK	Glycolipid transfer protein	ENSP00000315263	GB14335-PA
ENOG410VAWG	chromosome 2 open reading frame 62	ENSP00000289388	GB19768-PA
ENOG410VAWE	Nipped-B homolog (Drosophila)	ENSP00000282516	GB14597-PA
ENOG410VAWA	CCHC-type zinc finger, nucleic acid binding protein	ENSP00000410769	GB19226-PA
ENOG410VAWW	GC-rich sequence DNA-binding factor	ENSP00000458262, ENSP00000328992	GB30381-PA, GB18247-PA
ENOG410VAWT	Transforming growth factor beta regulator 4	ENSP00000258770	GB10947-PA
ENOG410V6J5	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)	ENSP00000402406, ENSP00000406878, ENSP00000404585, ENSP00000414770, ENSP00000355325, ENSP00000394155, ENSP00000406797, ENSP00000364016, ENSP00000372723	GB19200-PA
ENOG410V9IE	KIN, antigenic determinant of recA protein homolog (Mouse)	ENSP00000368881	GB16193-PA
ENOG410V51I	Zinc finger, CCHC domain containing 4	ENSP00000303468	GB17573-PA
ENOG410V51H	ATPase family, AAA domain containing 1	ENSP00000339016	GB10182-PA
ENOG410V51K	sphingomyelin synthase	ENSP00000354829, ENSP00000351981	GB20079-PA
ENOG410V51J	ATPase, class VI, type	ENSP00000284509, ENSP00000321195, ENSP00000283558, ENSP00000332756, ENSP00000357475	GB18928-PA
ENOG410V51A	RING finger protein	ENSP00000340979, ENSP00000354571	GB17306-PA
ENOG410V51G	Involved in the biogenesis of the 60S ribosomal subunit (By similarity)	ENSP00000354040	GB17562-PA
ENOG410V51U	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Also essential during biosynthesis of the molybdenum cofactor. Acts by mediating the C-terminal thiocarboxylation of sulfur carriers urm1 and mocs2a. Its N-terminus first activates urm1 and mocs2a as acyl-adenylates (-COAMP), then the persulfide sulfur on the catalytic cysteine is transferred to urm1 and mocs2a to form thiocarboxylation (-COSH) of their C-terminus. The reaction probably involves hydrogen sulfide that is generated from the persulfide intermediate and that acts as nucleophile towards urm1 and mocs2a. Subsequently, a transient disulfide bond is formed. Does not use thiosulfate as sulfur donor	ENSP00000244051	GB15068-PA
ENOG410V518	Angel homolog	ENSP00000251089, ENSP00000355929	GB19805-PA
ENOG410V511	dephospho-CoA kinase domain containing	ENSP00000341504	GB11887-PA
ENOG410V510	Tubulin tyrosine ligase-like family, member	ENSP00000260505, ENSP00000377043, ENSP00000345294	GB14451-PA
ENOG410V512	Solute carrier family 13	ENSP00000461823, ENSP00000392411, ENSP00000406220, ENSP00000297282, ENSP00000279027, ENSP00000194130	GB15354-PA, GB13916-PA
ENOG410V515	kiaa1279	ENSP00000354848	GB11393-PA
ENOG410V62X	doublecortin-like kinase	ENSP00000394484, ENSP00000255448, ENSP00000303887	GB12930-PA
ENOG410V62J	kelch-like 2, Mayven (Drosophila)	ENSP00000424198, ENSP00000312397	GB14950-PA
ENOG410V62H	PARK2 co-regulated	ENSP00000337946	GB18607-PA
ENOG410V62F	Ras-related C3 botulinum toxin substrate	ENSP00000348461, ENSP00000249071, ENSP00000304283	GB17936-PA, GB11373-PA
ENOG410V4NU	mitochondrial calcium uniporter	ENSP00000362144	GB12970-PA
ENOG410V4NT	erythrocyte membrane protein band 4.1-like	ENSP00000337168, ENSP00000341138, ENSP00000338481	GB13343-PA
ENOG410V4NZ	Kazrin, periplakin interacting protein	ENSP00000365198	GB14845-PA
ENOG410V4NC	R3H domain containing 1	ENSP00000264160	GB10730-PA
ENOG410V4NF	ADP-ribosylation factor-like	ENSP00000272217, ENSP00000256496	GB15496-PA
ENOG410V4NH	ATP-binding cassette, subfamily B (MDR TAP), member	ENSP00000351717, ENSP00000355637	GB12032-PA, GB10581-PA
ENOG410V4NK	nuclear receptor subfamily 2 group C member	ENSP00000320447, ENSP00000333275	GB18358-PA
ENOG410V4N1	solute carrier family 35 member E1	ENSP00000470652	GB14064-PA
ENOG410V4N2	chitinase	ENSP00000255409, ENSP00000358763, ENSP00000341828, ENSP00000356198, ENSP00000358747	GB15345-PA, GB17733-PA, GB11870-PA
ENOG410V4N7	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSP00000360163, ENSP00000283131	GB14577-PA
ENOG410VDR4	signal sequence receptor, beta (translocon-associated protein beta)	ENSP00000295702	GB17592-PA
ENOG410VI32	ferredoxin 1	ENSP00000260270	GB10039-PA
ENOG410V6H9	potassium channel tetramerisation domain containing	ENSP00000311202, ENSP00000226225, ENSP00000459080, ENSP00000228495	GB13359-PA
ENOG410V6H2	Solute carrier family 12 (Sodium potassium chloride transporters), member	ENSP00000370381, ENSP00000262461, ENSP00000402152	GB17120-PA, GB15653-PA
ENOG410V6H5	INO80 complex subunit D	ENSP00000384198	GB19515-PA
ENOG410V6H7	Adrenergic, beta, receptor kinase	ENSP00000312262, ENSP00000317578	GB15959-PA
ENOG410V6HK	Adducin 3 (Gamma)	ENSP00000264758, ENSP00000348381, ENSP00000264436	GB15113-PB
ENOG410V6HM	RNA binding motif protein 4.2	ENSP00000262633	GB15936-PA
ENOG410V6HC	clathrin, light chain	ENSP00000309415, ENSP00000242285	GB15986-PA
ENOG410V6HB	transforming growth factor beta 1 induced transcript 1	ENSP00000378332, ENSP00000228307, ENSP00000431284	GB19612-PA
ENOG410V6HE	CLK4-associating serine arginine rich protein	ENSP00000417901, ENSP00000221455	GB11831-PA, GB17536-PA
ENOG410V6HG	ATPase Na K transporting alpha	ENSP00000262623, ENSP00000354490, ENSP00000357060, ENSP00000295598, ENSP00000302397, ENSP00000218548	GB17873-PA, GB20055-PA, GB10508-PA
ENOG410V6HY	hypoxia up-regulated 1	ENSP00000458419, ENSP00000384144	GB10732-PA
ENOG410V6HZ	tetratricopeptide repeat domain 5	ENSP00000258821	GB19566-PA
ENOG410V6HR	gdp-mannose pyrophosphorylase b	ENSP00000309092	GB12420-PA
ENOG410V6HT	unkempt homolog	ENSP00000373873, ENSP00000293218	GB19818-PA
ENOG410V6HW	dihydroxyacetone kinase 2 homolog (S. cerevisiae)	ENSP00000378360	GB13058-PA, GB16190-PA
ENOG410VBSH	sorting nexin 8	ENSP00000222990	GB14826-PA
ENOG410VBSI	suppressor of cytokine signaling	ENSP00000305133, ENSP00000341327	GB18949-PA
ENOG410VBSA	TGFB-induced factor homeobox 2	ENSP00000362979	GB14146-PA
ENOG410VBSB	intraflagellar transport 46 homolog (Chlamydomonas)	ENSP00000470937, ENSP00000264020	GB17268-PA
ENOG410VBSY	Pyridoxamine 5'-phosphate oxidase	ENSP00000225573	GB13619-PA, GB14870-PA
ENOG410VBST	solute carrier family 25 (mitochondrial carnitine acylcarnitine carrier), member 29	ENSP00000352167	GB18512-PA
ENOG410VBSU	Nuclear RNA export factor	ENSP00000294172, ENSP00000361835, ENSP00000331471, ENSP00000469776, ENSP00000472530	GB19026-PA
ENOG410VBSV	ubiquitin carboxyl-terminal hydrolase	ENSP00000381577	GB13657-PA
ENOG410VBS5	DNA methyltransferase 1 associated protein 1	ENSP00000312697	GB10999-PA
ENOG410V8AG	Striatin, calmodulin binding protein	ENSP00000350071, ENSP00000375777, ENSP00000263918	GB17889-PA
ENOG410VDSC	SH3-binding domain protein 5-like	ENSP00000355428	GB13029-PA
ENOG410VMA5	5-hydroxyisourate	ENSP00000431116	GB13321-PA
ENOG410VMAV	Translocase of outer mitochondrial membrane 7 homolog (Yeast)	ENSP00000351214	GB13864-PA
ENOG410V6AD	ribosomal protein L19	ENSP00000225430	GB11299-PA
ENOG410V6AI	sparc osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	ENSP00000321108	GB11431-PA
ENOG410V6AX	Rest corepressor	ENSP00000413929, ENSP00000459789, ENSP00000301459	GB17956-PA
ENOG410V6U8	stomatin (Epb7.2)-like 2	ENSP00000348886	GB18490-PA
ENOG410V6UN	Solute carrier family 20 (Phosphate transporter), member	ENSP00000340465, ENSP00000272542	GB13603-PA
ENOG410V6UJ	tetratricopeptide repeat domain	ENSP00000406144, ENSP00000422496	GB14199-PA
ENOG410V6UI	translocation associated membrane protein	ENSP00000309402, ENSP00000182527, ENSP00000262213	GB18898-PA
ENOG410V6UE	williams-Beuren syndrome chromosome region 16	ENSP00000333799, ENSP00000461601	GB14106-PA
ENOG410V6UB	family with sequence similarity 45, member A	ENSP00000354688	GB13338-PA
ENOG410V6UX	Engulfment and cell motility	ENSP00000377566, ENSP00000312185, ENSP00000290246	GB12569-PA
ENOG410V6UV	ataxin 10	ENSP00000252934	GB10440-PA
ENOG410V6UU	EH-domain containing	ENSP00000320516, ENSP00000327116, ENSP00000220325	GB17549-PA
ENOG410V6UQ	Transient receptor potential cation channel subfamily V member	ENSP00000265310, ENSP00000457041, ENSP00000352358, ENSP00000456007	GB13007-PA, GB19362-PA
ENOG410V9NX	Cathepsin F	ENSP00000310832	GB13004-PA
ENOG410VBHN	UBX domain protein 6	ENSP00000301281	GB14356-PA
ENOG410VBHK	MAU2 chromatid cohesion factor homolog (C. elegans)	ENSP00000376127	GB11547-PA
ENOG410VBHF	Regulation of nuclear pre-mRNA domain containing	ENSP00000362532, ENSP00000349955	GB11118-PA
ENOG410VBHU	ubiquitin carboxyl-terminal hydrolase	ENSP00000339957	GB14473-PA
ENOG410VBH8	phosphoglycerate dehydrogenase	ENSP00000358417	GB18599-PA
ENOG410VBH1	SUMO sentrin specific peptidase family member 8	ENSP00000340505	GB18879-PA
ENOG410VGKY	adenine phosphoribosyltransferase	ENSP00000367615	GB17443-PA
ENOG410WGW8	sprouty-related, EVH1 domain containing 2	ENSP00000348753	GB13001-PA
ENOG410WGWP	RNA-binding region (RNP1, RRM) containing 3	ENSP00000391432	GB16643-PA
ENOG410VHIR	Histone H2A	ENSP00000308405, ENSP00000296417	GB12991-PA
ENOG410VHIT	Family with sequence similarity 136, member A	ENSP00000037869	GB12874-PA
ENOG410VHIZ	Polymerase (RNA) II (DNA directed) polypeptide F	ENSP00000403852	GB18934-PA
ENOG410VHIC	ribosomal protein L23	ENSP00000377865	GB12633-PA
ENOG410VHIH	Nuclear receptor 2C2-associated protein	ENSP00000332823	GB14900-PA
ENOG410VHIK	SNAP-associated protein	ENSP00000357674	GB12531-PA
ENOG410V8DK	Tumor protein D52-like 2	ENSP00000217121	GB13891-PA
ENOG410V8DJ	ERGIC and golgi 3	ENSP00000349970	GB14769-PA
ENOG410V8DI	RING finger protein 146	ENSP00000357297	GB17963-PA
ENOG410V8DC	complement component 1, q subcomponent binding protein	ENSP00000225698	GB10107-PA
ENOG410V8DB	Activating transcription factor 3	ENSP00000344352	GB11753-PA
ENOG410V8DF	Ciliary rootlet coiled-coil, rootletin	ENSP00000364691, ENSP00000380661, ENSP00000387851	GB30086-PA, GB10082-PA
ENOG410V8DZ	Tubulin folding cofactor E-like	ENSP00000403925	GB12899-PA
ENOG410V8DX	mitochondrial ribosomal protein L47	ENSP00000417602	GB16167-PA
ENOG410V8DR	Exosome component 3	ENSP00000323046	GB11366-PA
ENOG410V8DV	Immunoglobulin (CD79A) binding protein 1	ENSP00000348784	GB15132-PA
ENOG410V8DU	WD repeat domain 43	ENSP00000384302	GB15552-PA, GB30363-PA
ENOG410V8D7	MYCBP AMY-1-associated, testis expressed 1	ENSP00000273390	GB15124-PA
ENOG410V8D5	ribokinase	ENSP00000306817	GB14732-PA
ENOG410WIJ1	Fer3-like (Drosophila)	ENSP00000275461	GB17312-PA
ENOG410WIJM	sphingomyelin phosphodiesterase, acid-like	ENSP00000363001	GB18723-PA
ENOG410VCA9	tetraspanin	ENSP00000380552, ENSP00000011898	GB14751-PA
ENOG410VAKZ	sorting nexin	ENSP00000230085, ENSP00000363392	GB11979-PA
ENOG410V7J0	Thioredoxin	ENSP00000216185	GB17503-PA
ENOG410V7J6	Nuclear factor related to kappaB binding protein	ENSP00000436926	GB17407-PA, GB30357-PA
ENOG410V7JK	CXXC finger protein 1	ENSP00000390475	GB12034-PA
ENOG410V7JH	Bifunctional enzyme that catalyzes the enolization of 2,3-diketo-5-methylthiopentyl-1-phosphate (DK-MTP-1-P) into the intermediate 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate (HK-MTPenyl-1-P), which is then dephosphorylated to form the acireductone 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK-MTPene) (By similarity)	ENSP00000273920	GB10140-PA
ENOG410V7JI	NADPH oxidase, EF-hand calcium binding domain 5	ENSP00000373518	GB14555-PA
ENOG410V7JN	Nucleolar complex associated 2 homolog (S. cerevisiae)	ENSP00000317992	GB12267-PA
ENOG410V7JB	KN motif and ankyrin repeat domains	ENSP00000395650, ENSP00000371734, ENSP00000328923	GB10412-PA, GB14734-PA
ENOG410V7JA	retinol dehydrogenase	ENSP00000267502, ENSP00000461889, ENSP00000460159, ENSP00000461544, ENSP00000458148, ENSP00000461598, ENSP00000459453, ENSP00000370750, ENSP00000391121, ENSP00000370648, ENSP00000460719, ENSP00000459764	GB16118-PA
ENOG410V7JF	Kinesin family member	ENSP00000354878, ENSP00000328494, ENSP00000363524, ENSP00000387875, ENSP00000297814, ENSP00000377934	GB12768-PA, GB13714-PA
ENOG410V7JD	Serine arginine repetitive matrix 1	ENSP00000326261	GB11513-PA
ENOG410V7JX	ribosomal protein L16	ENSP00000300151	GB13436-PA
ENOG410V7JY	Zinc finger, FYVE domain containing 19	ENSP00000347498	GB10914-PA
ENOG410V7JR	pumilio homolog	ENSP00000391723, ENSP00000338173	GB10504-PA
ENOG410V7JS	ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)	ENSP00000232888	GB16027-PA
ENOG410V7JQ	MDS1 and EVI1 complex locus	ENSP00000270722, ENSP00000264674	GB12947-PA, GB19628-PA
ENOG410V7JW	zinc finger protein 277	ENSP00000354501	GB18481-PA
ENOG410V7JU	acid) phosphatase	ENSP00000270593, ENSP00000323036, ENSP00000256997	GB10483-PA, GB18728-PA, GB15862-PA, GB19603-PA
ENOG410VCWH	Cytochrome b5 reductase 4	ENSP00000358695	GB18586-PA
ENOG410VCWN	Nuclear fragile X mental retardation protein interacting protein 1	ENSP00000368459	GB15553-PA
ENOG410VCWA	Post-GPI attachment to proteins	ENSP00000300658	GB10206-PA
ENOG410VCWD	Rho guanine nucleotide exchange factor (GEF)	ENSP00000357177, ENSP00000380942, ENSP00000337261	GB13906-PA
ENOG410VCWX	IQ motif containing K	ENSP00000324901	GB30548-PA
ENOG410VCWU	X-prolyl aminopeptidase (aminopeptidase P) 3	ENSP00000349658	GB11289-PA
ENOG410VCW9	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation. Required for nonsense- mediated mRNA decay (NMD)	ENSP00000220849	GB19077-PA
ENOG410VCW0	methylphosphate capping enzyme	ENSP00000308546	GB19034-PA
ENOG410VHRC	Proteasome maturation protein	ENSP00000370222	GB13231-PA
ENOG410VHR0	chromosome 12 open reading frame 57	ENSP00000472534, ENSP00000229281	GB15839-PA
ENOG410VHR5	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	ENSP00000418842, ENSP00000459940	GB16371-PA
ENOG410VHR6	Component of the BAT3 complex, a multiprotein complex involved in the post-translational delivery of tail-anchored (TA) membrane proteins to the endoplasmic reticulum membrane. TA membrane proteins, also named type II transmembrane proteins, contain a single C-terminal transmembrane region. The complex acts by facilitating TA proteins capture by ASNA1 TRC40 it is recruited to ribosomes synthesizing membrane proteins, interacts with the transmembrane region of newly released TA proteins, and transfers them to ASNA1 TRC40 for targeting	ENSP00000470385, ENSP00000358674	GB19565-PA
ENOG410WFBX	neuralized homolog 4 (Drosophila)	ENSP00000382390	GB20006-PA
ENOG410WFBZ	neuralized homolog 2 (Drosophila)	ENSP00000361596	GB10808-PA
ENOG410V4X2	calmodulin	ENSP00000272298	GB12871-PA, GB15633-PA
ENOG410V4X1	neurocalcin delta	ENSP00000310749, ENSP00000362566, ENSP00000220931	GB18902-PA
ENOG410V4X0	MOB family member 4, phocein	ENSP00000315702	GB19377-PA
ENOG410V4X7	Speckle-type POZ	ENSP00000280098, ENSP00000240327	GB17428-PA
ENOG410V4X6	phosphatidylinositol 3-kinase, catalytic subunit type 3	ENSP00000262039	GB11687-PA
ENOG410V4X4	GRAM domain containing	ENSP00000441032, ENSP00000350881, ENSP00000436500	GB15014-PA
ENOG410V4XY	5'-nucleotidase, ecto (CD73)	ENSP00000257770	GB12259-PA, GB17218-PA
ENOG410V4XS	Vps20-associated 1 homolog (S. cerevisiae)	ENSP00000356602	GB13309-PA
ENOG410V4XQ	Kinesin family member	ENSP00000361298, ENSP00000268919, ENSP00000385000	GB19211-PA
ENOG410V4XW	Nucleoporin 107kDa	ENSP00000229179	GB13383-PA
ENOG410V4XT	Acyl-CoA synthetase long-chain family member	ENSP00000281455, ENSP00000296869, ENSP00000348429	GB11391-PA
ENOG410V4XK	periostin, osteoblast specific factor	ENSP00000369071, ENSP00000416330	GB15367-PA, GB10875-PA
ENOG410V4XI	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	ENSP00000395574, ENSP00000331302	GB12764-PA
ENOG410V4XG	GLIS family zinc finger	ENSP00000309653, ENSP00000371398	GB30371-PA
ENOG410V4XF	Adenosine deaminase, tRNA-specific 1	ENSP00000310015	GB14955-PA
ENOG410V6XJ	Transmembrane emp24 protein transport domain containing	ENSP00000405926, ENSP00000386341, ENSP00000299705, ENSP00000282382	GB17348-PA
ENOG410V6XM	High density lipoprotein binding protein	ENSP00000312042	GB10413-PA
ENOG410V6X1	CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2	ENSP00000260327	GB14843-PA
ENOG410V6X2	elongator acetyltransferase complex subunit 4	ENSP00000298937	GB18147-PA
ENOG410VACH	NADH dehydrogenase (ubiquinone) complex I, assembly factor 3	ENSP00000323076	GB19908-PA
ENOG410VACB	Zinc finger protein	ENSP00000354592, ENSP00000362527	GB12313-PA, GB15446-PA
ENOG410VA8A	Prolyl 4-hydroxylase, alpha polypeptide	ENSP00000263556, ENSP00000332170, ENSP00000166534	GB15677-PA
