#ortholog	function	species_a	species_b
ENOG410V4GT	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	ENSPTRP00000024815, ENSPTRP00000018458	GB13508-PA
ENOG410V4GH	ATP-binding cassette sub-family A ABC1 member	ENSPTRP00000016277, ENSPTRP00000044984, ENSPTRP00000022036, ENSPTRP00000016286, ENSPTRP00000032770, ENSPTRP00000042439, ENSPTRP00000013070, ENSPTRP00000016272, ENSPTRP00000049117	GB16275-PA, GB17394-PA, GB12083-PA
ENOG410VDK8	Coiled-coil domain containing 111	ENSPTRP00000028539	GB15999-PA
ENOG410V43G	BTB POZ domain containing	ENSPTRP00000022731, ENSPTRP00000012623	GB15449-PA, GB18419-PA
ENOG410V43D	glutathione synthetase	ENSPTRP00000023030	GB11231-PA, GB19965-PA
ENOG410V43E	Microtubule associated monoxygenase, calponin and LIM domain containing	ENSPTRP00000005885, ENSPTRP00000024188	GB11452-PA
ENOG410V43B	Protein phosphatase 2, regulatory subunit B''	ENSPTRP00000026587	GB15363-PA
ENOG410V43A	myosin Ie	ENSPTRP00000049036, ENSPTRP00000012180	GB15928-PA, GB18825-PA
ENOG410V43J	collagen, type	ENSPTRP00000033204, ENSPTRP00000036359, ENSPTRP00000047036, ENSPTRP00000017783, ENSPTRP00000041995	GB19550-PA
ENOG410V43K	DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)	ENSPTRP00000028961	GB19915-PA
ENOG410V43H	Mitochondrial ribosomal protein S25	ENSPTRP00000025285	GB14778-PA
ENOG410V43I	Asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)	ENSPTRP00000007077	GB14100-PA
ENOG410V43W	nitric oxide associated 1	ENSPTRP00000027668	GB19759-PA
ENOG410V43T	N-terminal asparagine	ENSPTRP00000013307	GB10784-PA
ENOG410V43P	ddb1 and cul4 associated factor 7	ENSPTRP00000016155	GB13265-PA
ENOG410V43Z	CCR4-NOT transcription complex subunit	ENSPTRP00000029810, ENSPTRP00000061148	GB17302-PA
ENOG410V43X	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase	ENSPTRP00000021512, ENSPTRP00000043056, ENSPTRP00000049150, ENSPTRP00000008459, ENSPTRP00000016954	GB18068-PA, GB13681-PA, GB16373-PA
ENOG410V43Y	ELAV (embryonic lethal, abnormal vision, Drosophila)-like	ENSPTRP00000017919, ENSPTRP00000001244, ENSPTRP00000017713, ENSPTRP00000035622	GB18785-PA
ENOG410V7Q0	FERM domain containing	ENSPTRP00000032127	GB18620-PA
ENOG410V437	This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)	ENSPTRP00000033034	GB19444-PA
ENOG410V434	mitogen-activated protein kinase kinase kinase	ENSPTRP00000008543, ENSPTRP00000027014	GB13153-PA
ENOG410V433	bicaudal D homolog	ENSPTRP00000036084, ENSPTRP00000050152	GB16687-PA
ENOG410V431	SH2B adaptor protein	ENSPTRP00000033449, ENSPTRP00000053639	GB15730-PA
ENOG410V439	Zinc finger protein 622	ENSPTRP00000028727	GB16154-PA
ENOG410VK87	Ubiquitin-fold modifier 1	ENSPTRP00000059765	GB10591-PA
ENOG410V7QE	member RAS oncogene family	ENSPTRP00000060322, ENSPTRP00000007306	GB15215-PA
ENOG410V5ZH	Transmembrane protease serine 15	ENSPTRP00000023779	GB17654-PA
ENOG410V5ZI	calpain 2, (m II) large subunit	ENSPTRP00000006670, ENSPTRP00000003544, ENSPTRP00000003379, ENSPTRP00000058028, ENSPTRP00000056265	GB10365-PA, GB15925-PA
ENOG410V5ZK	Phosphopantothenoylcysteine synthetase	ENSPTRP00000052446	GB14583-PA
ENOG410V5ZA	coiled-coil domain containing 19	ENSPTRP00000057675	GB14447-PA
ENOG410V5ZB	LIM domain containing preferred translocation partner in lipoma	ENSPTRP00000033404, ENSPTRP00000027063	GB15339-PA
ENOG410V5ZC	FCH domain only	ENSPTRP00000029078, ENSPTRP00000018230	GB10799-PA
ENOG410V5ZE	eyes absent homolog	ENSPTRP00000031782, ENSPTRP00000034805, ENSPTRP00000023365	GB11435-PA
ENOG410V5ZX	WD repeat domain 3	ENSPTRP00000001997	GB15856-PA
ENOG410V5ZY	PDZ domain containing RING finger	ENSPTRP00000050174, ENSPTRP00000026085	GB10280-PA
ENOG410V5ZP	ArfGAP with SH3 domain, ankyrin repeat and PH domain	ENSPTRP00000020009, ENSPTRP00000035200	GB10388-PA
ENOG410V5ZQ	dehydrogenase reductase SDR family member 7B	ENSPTRP00000015173	GB17863-PA
ENOG410V5ZT	centrin, EF-hand protein	ENSPTRP00000038570, ENSPTRP00000049475	GB10266-PA
ENOG410V5ZU	SMYD family member 5	ENSPTRP00000020694	GB13751-PA
ENOG410V5ZV	origin recognition complex subunit	ENSPTRP00000031448	GB11141-PA
ENOG410V5Z8	v-mos Moloney murine sarcoma viral oncogene homolog	ENSPTRP00000034701	GB12115-PA
ENOG410V5Z1	Alkaline phosphatase	ENSPTRP00000022289, ENSPTRP00000022287, ENSPTRP00000000520	GB13388-PA, GB18702-PA, GB16820-PA
ENOG410V5Z5	suppressor of defective silencing 3 homolog (S. cerevisiae)	ENSPTRP00000009363	GB12971-PA
ENOG410V5Z7	CDK5 regulatory subunit associated protein 3	ENSPTRP00000060664	GB17451-PA
ENOG410VAW6	chromosome 11 open reading frame 70	ENSPTRP00000007245	GB19146-PA
ENOG410VAW3	Lymphoid-restricted membrane protein	ENSPTRP00000044240	GB12624-PA
ENOG410VAW1	Cell division cycle associated 7	ENSPTRP00000021608	GB15370-PA
ENOG410VAWM	Hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (Trifunctional protein), alpha subunit	ENSPTRP00000020159	GB16864-PA
ENOG410VAWK	Glycolipid transfer protein	ENSPTRP00000060721, ENSPTRP00000049917	GB14335-PA
ENOG410VAWG	chromosome 2 open reading frame 62	ENSPTRP00000022080	GB19768-PA
ENOG410VAWE	Nipped-B homolog (Drosophila)	ENSPTRP00000048198	GB14597-PA
ENOG410VAWA	CCHC-type zinc finger, nucleic acid binding protein	ENSPTRP00000026477	GB19226-PA
ENOG410VAWW	GC-rich sequence DNA-binding factor	ENSPTRP00000023857	GB30381-PA, GB18247-PA
ENOG410VAWT	Transforming growth factor beta regulator 4	ENSPTRP00000032737	GB10947-PA
ENOG410V6J5	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)	ENSPTRP00000010438, ENSPTRP00000030774	GB19200-PA
ENOG410V9IE	KIN, antigenic determinant of recA protein homolog (Mouse)	ENSPTRP00000003854	GB16193-PA
ENOG410V51I	Zinc finger, CCHC domain containing 4	ENSPTRP00000027482	GB17573-PA
ENOG410V51H	ATPase family, AAA domain containing 1	ENSPTRP00000004742	GB10182-PA
ENOG410V51K	sphingomyelin synthase	ENSPTRP00000041167, ENSPTRP00000004317	GB20079-PA
ENOG410V51J	ATPase, class VI, type	ENSPTRP00000038477, ENSPTRP00000026946, ENSPTRP00000012069, ENSPTRP00000040761, ENSPTRP00000010278	GB18928-PA
ENOG410V51A	RING finger protein	ENSPTRP00000028380, ENSPTRP00000045260	GB17306-PA
ENOG410V51G	Involved in the biogenesis of the 60S ribosomal subunit (By similarity)	ENSPTRP00000003778	GB17562-PA
ENOG410V51U	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Also essential during biosynthesis of the molybdenum cofactor. Acts by mediating the C-terminal thiocarboxylation of sulfur carriers urm1 and mocs2a. Its N-terminus first activates urm1 and mocs2a as acyl-adenylates (-COAMP), then the persulfide sulfur on the catalytic cysteine is transferred to urm1 and mocs2a to form thiocarboxylation (-COSH) of their C-terminus. The reaction probably involves hydrogen sulfide that is generated from the persulfide intermediate and that acts as nucleophile towards urm1 and mocs2a. Subsequently, a transient disulfide bond is formed. Does not use thiosulfate as sulfur donor	ENSPTRP00000023439	GB15068-PA
ENOG410V518	Angel homolog	ENSPTRP00000011160, ENSPTRP00000003315	GB19805-PA
ENOG410V511	dephospho-CoA kinase domain containing	ENSPTRP00000015800	GB11887-PA
ENOG410V510	Tubulin tyrosine ligase-like family, member	ENSPTRP00000001552, ENSPTRP00000058601, ENSPTRP00000051272	GB14451-PA
ENOG410V512	Solute carrier family 13	ENSPTRP00000023355, ENSPTRP00000014756, ENSPTRP00000015222, ENSPTRP00000033626, ENSPTRP00000033801	GB13916-PA, GB15354-PA
ENOG410V515	kiaa1279	ENSPTRP00000046030	GB11393-PA
ENOG410V62X	doublecortin-like kinase	ENSPTRP00000028330, ENSPTRP00000025422, ENSPTRP00000009841	GB12930-PA
ENOG410V62J	kelch-like 2, Mayven (Drosophila)	ENSPTRP00000029536, ENSPTRP00000053274	GB14950-PA
ENOG410V62F	Ras-related C3 botulinum toxin substrate	ENSPTRP00000043196	GB11373-PA, GB17936-PA
ENOG410V4NU	mitochondrial calcium uniporter	ENSPTRP00000039641	GB12970-PA
ENOG410V4NT	erythrocyte membrane protein band 4.1-like	ENSPTRP00000031744, ENSPTRP00000023095, ENSPTRP00000016756	GB13343-PA
ENOG410V4NZ	Kazrin, periplakin interacting protein	ENSPTRP00000057344	GB14845-PA
ENOG410V4NC	R3H domain containing 1	ENSPTRP00000021375	GB10730-PA
ENOG410V4NF	ADP-ribosylation factor-like	ENSPTRP00000025125	GB15496-PA
ENOG410V4NH	ATP-binding cassette, subfamily B (MDR TAP), member	ENSPTRP00000045424, ENSPTRP00000003536	GB12032-PA, GB10581-PA
ENOG410V4NK	nuclear receptor subfamily 2 group C member	ENSPTRP00000009017, ENSPTRP00000025284	GB18358-PA
ENOG410V4N1	solute carrier family 35 member E1	ENSPTRP00000039053	GB14064-PA
ENOG410V4N2	chitinase	ENSPTRP00000003133, ENSPTRP00000001888, ENSPTRP00000001896, ENSPTRP00000041993	GB17733-PA, GB15345-PA, GB11870-PA
ENOG410V4N7	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSPTRP00000028278	GB14577-PA
ENOG410VDR4	signal sequence receptor, beta (translocon-associated protein beta)	ENSPTRP00000002439	GB17592-PA
ENOG410VI32	ferredoxin 1	ENSPTRP00000007328	GB10039-PA
ENOG410V6H9	potassium channel tetramerisation domain containing	ENSPTRP00000052970, ENSPTRP00000013636	GB13359-PA
ENOG410V6H2	Solute carrier family 12 (Sodium potassium chloride transporters), member	ENSPTRP00000013899, ENSPTRP00000059043, ENSPTRP00000029417	GB17120-PA, GB15653-PA
ENOG410V6H5	INO80 complex subunit D	ENSPTRP00000047989	GB19515-PA
ENOG410V6H7	Adrenergic, beta, receptor kinase	ENSPTRP00000006793, ENSPTRP00000049774	GB15959-PA
ENOG410V6HK	Adducin 3 (Gamma)	ENSPTRP00000027304, ENSPTRP00000046282, ENSPTRP00000020655	GB15113-PB
ENOG410V6HM	RNA binding motif protein 4.2	ENSPTRP00000018580	GB15936-PA
ENOG410V6HC	clathrin, light chain	ENSPTRP00000035797	GB15986-PA
ENOG410V6HB	transforming growth factor beta 1 induced transcript 1	ENSPTRP00000009381, ENSPTRP00000047049, ENSPTRP00000006351	GB19612-PA
ENOG410V6HE	CLK4-associating serine arginine rich protein	ENSPTRP00000010953, ENSPTRP00000041717	GB11831-PA, GB17536-PA
ENOG410V6HG	ATPase Na K transporting alpha	ENSPTRP00000041092, ENSPTRP00000018575, ENSPTRP00000009734, ENSPTRP00000002591	GB17873-PA, GB20055-PA, GB10508-PA
ENOG410V6HY	hypoxia up-regulated 1	ENSPTRP00000007480	GB10732-PA
ENOG410V6HZ	tetratricopeptide repeat domain 5	ENSPTRP00000010332	GB19566-PA
ENOG410V6HR	gdp-mannose pyrophosphorylase b	ENSPTRP00000025773	GB12420-PA
ENOG410V6HT	unkempt homolog	ENSPTRP00000016408, ENSPTRP00000053809	GB19818-PA
ENOG410V6HW	dihydroxyacetone kinase 2 homolog (S. cerevisiae)	ENSPTRP00000006431	GB16190-PA, GB13058-PA
ENOG410VBSH	sorting nexin 8	ENSPTRP00000032199	GB14826-PA
ENOG410VBSI	suppressor of cytokine signaling	ENSPTRP00000061344, ENSPTRP00000010802	GB18949-PA
ENOG410VBSA	TGFB-induced factor homeobox 2	ENSPTRP00000023101	GB14146-PA
ENOG410VBSB	intraflagellar transport 46 homolog (Chlamydomonas)	ENSPTRP00000007458	GB17268-PA
ENOG410VBSY	Pyridoxamine 5'-phosphate oxidase	ENSPTRP00000015884	GB14870-PA, GB13619-PA
ENOG410VBST	solute carrier family 25 (mitochondrial carnitine acylcarnitine carrier), member 29	ENSPTRP00000011454	GB18512-PA
ENOG410VBSU	Nuclear RNA export factor	ENSPTRP00000038049, ENSPTRP00000006511	GB19026-PA
ENOG410VBSV	ubiquitin carboxyl-terminal hydrolase	ENSPTRP00000020540	GB13657-PA
ENOG410VBS5	DNA methyltransferase 1 associated protein 1	ENSPTRP00000046996	GB10999-PA
ENOG410V8AG	Striatin, calmodulin binding protein	ENSPTRP00000010587, ENSPTRP00000019206, ENSPTRP00000043059	GB17889-PA
ENOG410VDSC	SH3-binding domain protein 5-like	ENSPTRP00000003755	GB13029-PA
ENOG410VMA5	5-hydroxyisourate	ENSPTRP00000060710	GB13321-PA
ENOG410VMAV	Translocase of outer mitochondrial membrane 7 homolog (Yeast)	ENSPTRP00000032434	GB13864-PA
ENOG410V6AD	ribosomal protein L19	ENSPTRP00000015480	GB11299-PA
ENOG410V6AI	sparc osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	ENSPTRP00000004525	GB11431-PA
ENOG410V6AX	Rest corepressor	ENSPTRP00000003285, ENSPTRP00000006558, ENSPTRP00000052457	GB17956-PA
ENOG410V6U8	stomatin (Epb7.2)-like 2	ENSPTRP00000035756	GB18490-PA
ENOG410V6UN	Solute carrier family 20 (Phosphate transporter), member	ENSPTRP00000021186, ENSPTRP00000034606	GB13603-PA
ENOG410V6UJ	tetratricopeptide repeat domain	ENSPTRP00000035547, ENSPTRP00000052336	GB14199-PA
ENOG410V6UI	translocation associated membrane protein	ENSPTRP00000060393, ENSPTRP00000034802	GB18898-PA
ENOG410V6UE	williams-Beuren syndrome chromosome region 16	ENSPTRP00000033008	GB14106-PA
ENOG410V6UB	family with sequence similarity 45, member A	ENSPTRP00000050195	GB13338-PA
ENOG410V6UX	Engulfment and cell motility	ENSPTRP00000023348, ENSPTRP00000032609, ENSPTRP00000056317	GB12569-PA
ENOG410V6UV	ataxin 10	ENSPTRP00000049614	GB10440-PA
ENOG410V6UU	EH-domain containing	ENSPTRP00000011887, ENSPTRP00000006637, ENSPTRP00000020273	GB17549-PA
ENOG410V6UQ	Transient receptor potential cation channel subfamily V member	ENSPTRP00000042589, ENSPTRP00000033910	GB13007-PA, GB19362-PA
ENOG410V9NX	Cathepsin F	ENSPTRP00000006773	GB13004-PA
ENOG410VBHN	UBX domain protein 6	ENSPTRP00000017528	GB14356-PA
ENOG410VBHK	MAU2 chromatid cohesion factor homolog (C. elegans)	ENSPTRP00000018319	GB11547-PA
ENOG410VBHF	Regulation of nuclear pre-mRNA domain containing	ENSPTRP00000023147, ENSPTRP00000046467	GB11118-PA
ENOG410VBHU	ubiquitin carboxyl-terminal hydrolase	ENSPTRP00000058577	GB14473-PA
ENOG410VBH8	phosphoglycerate dehydrogenase	ENSPTRP00000002013	GB18599-PA
ENOG410VBH1	SUMO sentrin specific peptidase family member 8	ENSPTRP00000012385	GB18879-PA
ENOG410VGKY	adenine phosphoribosyltransferase	ENSPTRP00000014433	GB17443-PA
ENOG410WGW8	sprouty-related, EVH1 domain containing 2	ENSPTRP00000020595	GB13001-PA
ENOG410WGWP	RNA-binding region (RNP1, RRM) containing 3	ENSPTRP00000039601	GB16643-PA
ENOG410VHIR	Histone H2A	ENSPTRP00000032725, ENSPTRP00000028020	GB12991-PA
ENOG410VHIT	Family with sequence similarity 136, member A	ENSPTRP00000020653	GB12874-PA
ENOG410VHIZ	Polymerase (RNA) II (DNA directed) polypeptide F	ENSPTRP00000024726	GB18934-PA
ENOG410VHIC	ribosomal protein L23	ENSPTRP00000015471	GB12633-PA
ENOG410VHIH	Nuclear receptor 2C2-associated protein	ENSPTRP00000018311	GB14900-PA
ENOG410VHIK	SNAP-associated protein	ENSPTRP00000002285	GB12531-PA
ENOG410V8DK	Tumor protein D52-like 2	ENSPTRP00000023706	GB13891-PA
ENOG410V8DJ	ERGIC and golgi 3	ENSPTRP00000023057	GB14769-PA
ENOG410V8DI	RING finger protein 146	ENSPTRP00000031718	GB17963-PA
ENOG410V8DC	complement component 1, q subcomponent binding protein	ENSPTRP00000014729	GB10107-PA
ENOG410V8DB	Activating transcription factor 3	ENSPTRP00000051186	GB11753-PA
ENOG410V8DF	Ciliary rootlet coiled-coil, rootletin	ENSPTRP00000046519, ENSPTRP00000061067, ENSPTRP00000000423	GB10082-PA, GB30086-PA
ENOG410V8DZ	Tubulin folding cofactor E-like	ENSPTRP00000007526	GB12899-PA
ENOG410V8DX	mitochondrial ribosomal protein L47	ENSPTRP00000026929	GB16167-PA
ENOG410V8DR	Exosome component 3	ENSPTRP00000035836	GB11366-PA
ENOG410V8DV	Immunoglobulin (CD79A) binding protein 1	ENSPTRP00000037788	GB15132-PA
ENOG410V8DU	WD repeat domain 43	ENSPTRP00000020251	GB30363-PA, GB15552-PA
ENOG410V8D7	MYCBP AMY-1-associated, testis expressed 1	ENSPTRP00000051142	GB15124-PA
ENOG410V8D5	ribokinase	ENSPTRP00000020233	GB14732-PA
ENOG410WIJ1	Fer3-like (Drosophila)	ENSPTRP00000032392	GB17312-PA
ENOG410WIJM	sphingomyelin phosphodiesterase, acid-like	ENSPTRP00000000736	GB18723-PA
ENOG410VCA9	tetraspanin	ENSPTRP00000007769, ENSPTRP00000005544	GB14751-PA
ENOG410VAKZ	sorting nexin	ENSPTRP00000031552	GB11979-PA
ENOG410V7J6	Nuclear factor related to kappaB binding protein	ENSPTRP00000007651	GB17407-PA, GB30357-PA
ENOG410V7J4	tripartite motif containing 71, E3 ubiquitin protein ligase	ENSPTRP00000051497	GB18033-PA
ENOG410V7JK	CXXC finger protein 1	ENSPTRP00000017038	GB12034-PA
ENOG410V7JH	Bifunctional enzyme that catalyzes the enolization of 2,3-diketo-5-methylthiopentyl-1-phosphate (DK-MTP-1-P) into the intermediate 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate (HK-MTPenyl-1-P), which is then dephosphorylated to form the acireductone 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK-MTPene) (By similarity)	ENSPTRP00000027867	GB10140-PA
ENOG410V7JI	NADPH oxidase, EF-hand calcium binding domain 5	ENSPTRP00000051401	GB14555-PA
ENOG410V7JN	Nucleolar complex associated 2 homolog (S. cerevisiae)	ENSPTRP00000040449	GB12267-PA
ENOG410V7JB	KN motif and ankyrin repeat domains	ENSPTRP00000017728, ENSPTRP00000060160, ENSPTRP00000043634, ENSPTRP00000017893	GB14734-PA, GB10412-PA
ENOG410V7JA	retinol dehydrogenase	ENSPTRP00000019749, ENSPTRP00000052595, ENSPTRP00000010968	GB16118-PA
ENOG410V7JF	Kinesin family member	ENSPTRP00000035996, ENSPTRP00000051348, ENSPTRP00000012718, ENSPTRP00000037806	GB12768-PA, GB13714-PA
ENOG410V7JD	Serine arginine repetitive matrix 1	ENSPTRP00000000609	GB11513-PA
ENOG410V7JX	ribosomal protein L16	ENSPTRP00000006376	GB13436-PA
ENOG410V7JY	Zinc finger, FYVE domain containing 19	ENSPTRP00000011831	GB10914-PA
ENOG410V7JR	pumilio homolog	ENSPTRP00000000792, ENSPTRP00000020091	GB10504-PA
ENOG410V7JS	ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)	ENSPTRP00000025858	GB16027-PA
ENOG410V7JQ	MDS1 and EVI1 complex locus	ENSPTRP00000026847, ENSPTRP00000052931	GB19628-PA, GB12947-PA
ENOG410V7JW	zinc finger protein 277	ENSPTRP00000039224	GB18481-PA
ENOG410V7JU	acid) phosphatase	ENSPTRP00000046525, ENSPTRP00000006180, ENSPTRP00000019503	GB15862-PA, GB18728-PA, GB19603-PA, GB10483-PA
ENOG410VCWH	Cytochrome b5 reductase 4	ENSPTRP00000031416	GB18586-PA
ENOG410VCWN	Nuclear fragile X mental retardation protein interacting protein 1	ENSPTRP00000009934	GB15553-PA
ENOG410VCWA	Post-GPI attachment to proteins	ENSPTRP00000015505	GB10206-PA
ENOG410VCWD	Rho guanine nucleotide exchange factor (GEF)	ENSPTRP00000041072, ENSPTRP00000018955, ENSPTRP00000058269	GB13906-PA
ENOG410VCWX	IQ motif containing K	ENSPTRP00000013381	GB30548-PA
ENOG410VCWU	X-prolyl aminopeptidase (aminopeptidase P) 3	ENSPTRP00000024836	GB11289-PA
ENOG410VCW9	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation. Required for nonsense- mediated mRNA decay (NMD)	ENSPTRP00000035067	GB19077-PA
ENOG410VCW0	methylphosphate capping enzyme	ENSPTRP00000033358	GB19034-PA
ENOG410VHRC	Proteasome maturation protein	ENSPTRP00000009778	GB13231-PA
ENOG410VHR0	chromosome 12 open reading frame 57	ENSPTRP00000007862	GB15839-PA
ENOG410VHR5	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	ENSPTRP00000058761	GB16371-PA
ENOG410VHR6	Component of the BAT3 complex, a multiprotein complex involved in the post-translational delivery of tail-anchored (TA) membrane proteins to the endoplasmic reticulum membrane. TA membrane proteins, also named type II transmembrane proteins, contain a single C-terminal transmembrane region. The complex acts by facilitating TA proteins capture by ASNA1 TRC40 it is recruited to ribosomes synthesizing membrane proteins, interacts with the transmembrane region of newly released TA proteins, and transfers them to ASNA1 TRC40 for targeting	ENSPTRP00000038681	GB19565-PA
ENOG410WFBZ	neuralized homolog 2 (Drosophila)	ENSPTRP00000023315	GB10808-PA
ENOG410V4X2	calmodulin	ENSPTRP00000019197	GB15633-PA, GB12871-PA
ENOG410V4X1	neurocalcin delta	ENSPTRP00000035023, ENSPTRP00000000863, ENSPTRP00000020029	GB18902-PA
ENOG410V4X0	MOB family member 4, phocein	ENSPTRP00000021829	GB19377-PA
ENOG410V4X7	Speckle-type POZ	ENSPTRP00000015931, ENSPTRP00000021390	GB17428-PA
ENOG410V4X6	phosphatidylinositol 3-kinase, catalytic subunit type 3	ENSPTRP00000049400	GB11687-PA
ENOG410V4X4	GRAM domain containing	ENSPTRP00000042072, ENSPTRP00000007542, ENSPTRP00000041731	GB15014-PA
ENOG410V4XY	5'-nucleotidase, ecto (CD73)	ENSPTRP00000031424	GB12259-PA, GB17218-PA
ENOG410V4XS	Vps20-associated 1 homolog (S. cerevisiae)	ENSPTRP00000031849	GB13309-PA
ENOG410V4XQ	Kinesin family member	ENSPTRP00000001145, ENSPTRP00000058900, ENSPTRP00000016006	GB19211-PA
ENOG410V4XW	Nucleoporin 107kDa	ENSPTRP00000008831	GB13383-PA
ENOG410V4XT	Acyl-CoA synthetase long-chain family member	ENSPTRP00000028542, ENSPTRP00000041973, ENSPTRP00000043677	GB11391-PA
ENOG410V4XK	periostin, osteoblast specific factor	ENSPTRP00000009867, ENSPTRP00000056967	GB15367-PA, GB10875-PA
ENOG410V4XI	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	ENSPTRP00000000585	GB12764-PA
ENOG410V4XG	GLIS family zinc finger	ENSPTRP00000001300, ENSPTRP00000035479	GB30371-PA
ENOG410V4XF	Adenosine deaminase, tRNA-specific 1	ENSPTRP00000014278	GB14955-PA
ENOG410V6XJ	Transmembrane emp24 protein transport domain containing	ENSPTRP00000012574, ENSPTRP00000060406, ENSPTRP00000029346	GB17348-PA
ENOG410V6XM	High density lipoprotein binding protein	ENSPTRP00000022470	GB10413-PA
ENOG410V6X1	CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2	ENSPTRP00000011989	GB14843-PA
