ortholog	function	Mus_musculus	Rattus_norvegicus
ENOG410V5ZI	calpain 2, (m II) large subunit	ENSMUSP00000113132, ENSMUSP00000028749, ENSMUSP00000090717, ENSMUSP00000047164, ENSMUSP00000025891, ENSMUSP00000068895	ENSRNOP00000059934, ENSRNOP00000011761, ENSRNOP00000062898, ENSRNOP00000025357, ENSRNOP00000028431, ENSRNOP00000046509
ENOG410V5ZK	Phosphopantothenoylcysteine synthetase	ENSMUSP00000030385	ENSRNOP00000011392
ENOG410V5ZM	Olfactory receptor	ENSMUSP00000080828, ENSMUSP00000079522, ENSMUSP00000053309, ENSMUSP00000076311	ENSRNOP00000041825, ENSRNOP00000044709, ENSRNOP00000065088
ENOG410V5ZN	calcium binding and coiled-coil domain 1	ENSMUSP00000023818	ENSRNOP00000021522, ENSRNOP00000064554
ENOG410V5ZA	coiled-coil domain containing 19	ENSMUSP00000083057	ENSRNOP00000011450
ENOG410V5ZB	LIM domain containing preferred translocation partner in lipoma	ENSMUSP00000036304, ENSMUSP00000024119	ENSRNOP00000042917, ENSRNOP00000064918
ENOG410V5ZC	FCH domain only	ENSMUSP00000042959	ENSRNOP00000020692, ENSRNOP00000048424
ENOG410V5ZE	eyes absent homolog	ENSMUSP00000090335, ENSMUSP00000066244, ENSMUSP00000126383	ENSRNOP00000030502
ENOG410V5ZF	chromosome 9 open reading frame 24	ENSMUSP00000030152	ENSRNOP00000017903
ENOG410V5ZX	WD repeat domain 3	ENSMUSP00000060613	ENSRNOP00000026726
ENOG410V5ZY	PDZ domain containing RING finger	ENSMUSP00000133159	ENSRNOP00000037998
ENOG410V5ZP	ArfGAP with SH3 domain, ankyrin repeat and PH domain	ENSMUSP00000134825, ENSMUSP00000063217	ENSRNOP00000059763, ENSRNOP00000057153
ENOG410V5ZQ	dehydrogenase reductase SDR family member 7B	ENSMUSP00000044924	ENSRNOP00000063744
ENOG410V5ZR	family with sequence similarity 65, member C	ENSMUSP00000096672	ENSRNOP00000037329
ENOG410V5ZS	ankylosis, progressive homolog (mouse)	ENSMUSP00000022875	ENSRNOP00000060060
ENOG410V5ZT	centrin, EF-hand protein	ENSMUSP00000057392, ENSMUSP00000110198	ENSRNOP00000021955, ENSRNOP00000061564
ENOG410V5ZU	SMYD family member 5	ENSMUSP00000048537	ENSRNOP00000020909
ENOG410V5ZV	origin recognition complex subunit	ENSMUSP00000048319	ENSRNOP00000011085
ENOG410V5ZW	isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae)	ENSMUSP00000076090	ENSRNOP00000009824
ENOG410V5Z8	v-mos Moloney murine sarcoma viral oncogene homolog	ENSMUSP00000100789	ENSRNOP00000064243
ENOG410V5Z9	NADPH oxidase activator 1	ENSMUSP00000037423	ENSRNOP00000012375
ENOG410V5Z1	Alkaline phosphatase	ENSMUSP00000027455, ENSMUSP00000030551, ENSMUSP00000108895, ENSMUSP00000037497	ENSRNOP00000019004, ENSRNOP00000026095, ENSRNOP00000026190, ENSRNOP00000066949
ENOG410V5Z2	Transmembrane protein 182	ENSMUSP00000110413	ENSRNOP00000049496
ENOG410V5Z3	STEAP family member	ENSMUSP00000111081, ENSMUSP00000108258, ENSMUSP00000015797	ENSRNOP00000007977, ENSRNOP00000011432, ENSRNOP00000064137
ENOG410V5Z5	suppressor of defective silencing 3 homolog (S. cerevisiae)	ENSMUSP00000130535	ENSRNOP00000001504
ENOG410V5Z6	vomeronasal 2 receptor	ENSMUSP00000131925, ENSMUSP00000131831, ENSMUSP00000077109, ENSMUSP00000131220, ENSMUSP00000029406, ENSMUSP00000126165, ENSMUSP00000127513	ENSRNOP00000054441, ENSRNOP00000054464, ENSRNOP00000013778
ENOG410V5Z7	CDK5 regulatory subunit associated protein 3	ENSMUSP00000099441	ENSRNOP00000065240
ENOG410VAW7	Farnesyltransferase, CAAX box, alpha	ENSMUSP00000016138	ENSRNOP00000019594
ENOG410VAW6	chromosome 11 open reading frame 70	ENSMUSP00000063450	ENSRNOP00000061520
ENOG410VAW3	Lymphoid-restricted membrane protein	ENSMUSP00000032396	ENSRNOP00000046606
ENOG410VAW1	Cell division cycle associated 7	ENSMUSP00000099752	ENSRNOP00000002066
ENOG410VAW0	Family with sequence similarity 110, member B	ENSMUSP00000062734	ENSRNOP00000012067
ENOG410VAWN	Zinc finger, AN1-type domain 6	ENSMUSP00000069228	ENSRNOP00000018098
ENOG410VAWM	Hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (Trifunctional protein), alpha subunit	ENSMUSP00000120976	ENSRNOP00000038073
ENOG410VAWK	Glycolipid transfer protein	ENSMUSP00000012028	ENSRNOP00000001581
ENOG410VAWI	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity)	ENSMUSP00000101146	ENSRNOP00000061000
ENOG410VAWG	chromosome 2 open reading frame 62	ENSMUSP00000095303	ENSRNOP00000066656
ENOG410VAWF	RAB11 family interacting protein 5 (class I)	ENSMUSP00000058305	ENSRNOP00000043637
ENOG410VAWE	Nipped-B homolog (Drosophila)	ENSMUSP00000059385	ENSRNOP00000020954
ENOG410VAWB	tripartite motif containing 44	ENSMUSP00000099633	ENSRNOP00000007018
ENOG410VAWA	CCHC-type zinc finger, nucleic acid binding protein	ENSMUSP00000032138	ENSRNOP00000013884
ENOG410VAWY	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	ENSMUSP00000048704	ENSRNOP00000004322
ENOG410VAWX	Endonuclease domain containing 1	ENSMUSP00000127751	ENSRNOP00000037703
ENOG410VAWW	GC-rich sequence DNA-binding factor	ENSMUSP00000113835	ENSRNOP00000002800
ENOG410VAWV	pleckstrin homology domain containing, family S member 1	ENSMUSP00000035440	ENSRNOP00000022724
ENOG410VAWU	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	ENSMUSP00000047402	ENSRNOP00000016893
ENOG410VAWT	Transforming growth factor beta regulator 4	ENSMUSP00000000394	ENSRNOP00000053972
ENOG410VAWS	Carbonic anhydrase IX	ENSMUSP00000030183	ENSRNOP00000023060
ENOG410VAWR	Chromosome 1 open reading frame 65	ENSMUSP00000095053	ENSRNOP00000054355
ENOG410VAWQ	Transmembrane protein 106B	ENSMUSP00000069764, ENSMUSP00000031556	ENSRNOP00000011638, ENSRNOP00000008677
ENOG410VAWP	Tripartite motif-containing protein	ENSMUSP00000126594, ENSMUSP00000127527, ENSMUSP00000129255	ENSRNOP00000046722
ENOG410VS9S	7 transmembrane receptor (rhodopsin family)	ENSMUSP00000057839	ENSRNOP00000048573, ENSRNOP00000007665
ENOG410VJIG	cortexin 2	ENSMUSP00000097051	ENSRNOP00000052906
ENOG410VJIJ	Lymphocyte antigen 6 complex, locus G6E	ENSMUSP00000013910	ENSRNOP00000032019
ENOG410VJIW	guanylate cyclase activator 2a (guanylin)	ENSMUSP00000024015	ENSRNOP00000011867
ENOG410VJIS	interleukin 31	ENSMUSP00000031389	ENSRNOP00000037716
ENOG410VJIZ	S100 calcium binding protein A11	ENSMUSP00000029515	ENSRNOP00000013393, ENSRNOP00000041760
ENOG410VJI6	succinate dehydrogenase complex assembly factor 1	ENSMUSP00000096185	ENSRNOP00000053718, ENSRNOP00000067764
ENOG410VJI5	zymogen granule protein 16 homolog B (rat)	ENSMUSP00000111088, ENSMUSP00000024939, ENSMUSP00000085966, ENSMUSP00000024940, ENSMUSP00000064663	ENSRNOP00000062347
ENOG410VJI2	transmembrane protein 239	ENSMUSP00000055299	ENSRNOP00000067497
ENOG410VJI9	Unknown	ENSMUSP00000038976	ENSRNOP00000060844
ENOG410V6J5	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)	ENSMUSP00000025196, ENSMUSP00000022803	ENSRNOP00000000528, ENSRNOP00000018005
ENOG410V6JW	Zinc finger protein	ENSMUSP00000057495	ENSRNOP00000034937
ENOG410V9IE	KIN, antigenic determinant of recA protein homolog (Mouse)	ENSMUSP00000043614	ENSRNOP00000028940
ENOG410V9I6	Ankyrin repeat domain 46	ENSMUSP00000052521	ENSRNOP00000034048
ENOG410VBUR	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	ENSMUSP00000030868	ENSRNOP00000009489
ENOG410VBUP	Transmembrane protein 144	ENSMUSP00000029568	ENSRNOP00000013499
ENOG410VKMS	islet amyloid polypeptide	ENSMUSP00000043956	ENSRNOP00000016614
ENOG410VKMY	cytochrome c oxidase, subunit VIIIa	ENSMUSP00000040717	ENSRNOP00000028754
ENOG410VKMD	chemokine (C-C motif) ligand 17	ENSMUSP00000034232	ENSRNOP00000021842
ENOG410VKMC	psoriasis susceptibility 1 candidate 2	ENSMUSP00000025273	ENSRNOP00000064601
ENOG410VKMA	catenin beta interacting protein 1	ENSMUSP00000030839	ENSRNOP00000052425
ENOG410V9N9	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSMUSP00000034443	ENSRNOP00000034685
ENOG410V51I	Zinc finger, CCHC domain containing 4	ENSMUSP00000031077	ENSRNOP00000051233
ENOG410V51H	ATPase family, AAA domain containing 1	ENSMUSP00000069962	ENSRNOP00000014684
ENOG410V51K	sphingomyelin synthase	ENSMUSP00000087713, ENSMUSP00000097114	ENSRNOP00000051643, ENSRNOP00000015020
ENOG410V51J	ATPase, class VI, type	ENSMUSP00000099066, ENSMUSP00000103019, ENSMUSP00000088779, ENSMUSP00000103575	ENSRNOP00000065368, ENSRNOP00000053445, ENSRNOP00000048676, ENSRNOP00000023163, ENSRNOP00000011451
ENOG410V51M	Zinc finger, NFX1-type containing 1	ENSMUSP00000049404	ENSRNOP00000052000
ENOG410V51N	ALX homeobox 3	ENSMUSP00000014747	ENSRNOP00000024611
ENOG410V51A	RING finger protein	ENSMUSP00000094396	ENSRNOP00000027321
ENOG410V51D	paraneoplastic Ma antigen	ENSMUSP00000086646, ENSMUSP00000054177	ENSRNOP00000022997, ENSRNOP00000013001
ENOG410V51G	Involved in the biogenesis of the 60S ribosomal subunit (By similarity)	ENSMUSP00000021574	ENSRNOP00000064860
ENOG410V51F	transmembrane protein 70	ENSMUSP00000135483	ENSRNOP00000008680
ENOG410V51Y	GTPase, IMAP family member	ENSMUSP00000062108	ENSRNOP00000055930
ENOG410V51Z	prodynorphin	ENSMUSP00000028883	ENSRNOP00000038921
ENOG410V51Q	N-terminal EF-hand calcium binding protein	ENSMUSP00000000895, ENSMUSP00000038165, ENSMUSP00000095966	ENSRNOP00000022115, ENSRNOP00000009718, ENSRNOP00000020341
ENOG410V51S	oxysterol binding protein-like	ENSMUSP00000110112, ENSMUSP00000087474, ENSMUSP00000077123	ENSRNOP00000059467, ENSRNOP00000013828
ENOG410V51U	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Also essential during biosynthesis of the molybdenum cofactor. Acts by mediating the C-terminal thiocarboxylation of sulfur carriers urm1 and mocs2a. Its N-terminus first activates urm1 and mocs2a as acyl-adenylates (-COAMP), then the persulfide sulfur on the catalytic cysteine is transferred to urm1 and mocs2a to form thiocarboxylation (-COSH) of their C-terminus. The reaction probably involves hydrogen sulfide that is generated from the persulfide intermediate and that acts as nucleophile towards urm1 and mocs2a. Subsequently, a transient disulfide bond is formed. Does not use thiosulfate as sulfur donor	ENSMUSP00000096670	ENSRNOP00000030453
ENOG410V51V	sperm-tail PG-rich repeat containing 1	ENSMUSP00000067647	ENSRNOP00000051024
ENOG410V9NY	n-acetylglutamate synthase	ENSMUSP00000050258	ENSRNOP00000028332
ENOG410V519	Olfactory receptor	ENSMUSP00000054070, ENSMUSP00000077338, ENSMUSP00000086263, ENSMUSP00000094186, ENSMUSP00000065196	ENSRNOP00000045160, ENSRNOP00000024351, ENSRNOP00000000992, ENSRNOP00000040031, ENSRNOP00000064309
ENOG410V518	Angel homolog	ENSMUSP00000064556, ENSMUSP00000021682	ENSRNOP00000014635, ENSRNOP00000005084
ENOG410V511	dephospho-CoA kinase domain containing	ENSMUSP00000021313	ENSRNOP00000037891
ENOG410V510	Tubulin tyrosine ligase-like family, member	ENSMUSP00000062795, ENSMUSP00000129369, ENSMUSP00000127778	ENSRNOP00000061335, ENSRNOP00000006594, ENSRNOP00000067036
ENOG410V513	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSMUSP00000025862, ENSMUSP00000096547, ENSMUSP00000025965	ENSRNOP00000016740, ENSRNOP00000064734, ENSRNOP00000064061, ENSRNOP00000013166
ENOG410V512	Solute carrier family 13	ENSMUSP00000021161, ENSMUSP00000001122, ENSMUSP00000031868, ENSMUSP00000031713, ENSMUSP00000029208	ENSRNOP00000020043, ENSRNOP00000025843, ENSRNOP00000056637, ENSRNOP00000010788, ENSRNOP00000038185
ENOG410V515	kiaa1279	ENSMUSP00000065160	ENSRNOP00000000444
ENOG410V514	Eph receptor B6	ENSMUSP00000110380	ENSRNOP00000019720
ENOG410V517	matrix metallopeptidase 23B	ENSMUSP00000030937	ENSRNOP00000061528
ENOG410V516	cholinergic receptor, nicotinic	ENSMUSP00000091365, ENSMUSP00000052297	ENSRNOP00000016656, ENSRNOP00000062227
ENOG410V62X	doublecortin-like kinase	ENSMUSP00000107510, ENSMUSP00000029719, ENSMUSP00000050034	ENSRNOP00000046063, ENSRNOP00000019748, ENSRNOP00000053894
ENOG410V62U	Transmembrane protein 82	ENSMUSP00000058412	ENSRNOP00000016176
ENOG410V62J	kelch-like 2, Mayven (Drosophila)	ENSMUSP00000034017, ENSMUSP00000089173	ENSRNOP00000037981, ENSRNOP00000049839
ENOG410V62H	PARK2 co-regulated	ENSMUSP00000044376	ENSRNOP00000023046
ENOG410V62F	Ras-related C3 botulinum toxin substrate	ENSMUSP00000018156, ENSMUSP00000079380, ENSMUSP00000036384	ENSRNOP00000009994, ENSRNOP00000001417
ENOG410V62B	MGA, MAX dimerization protein	ENSMUSP00000106401	ENSRNOP00000060519
ENOG410V628	vacuolar protein sorting 37 homolog C (S. cerevisiae)	ENSMUSP00000085264	ENSRNOP00000001982, ENSRNOP00000064140
ENOG410V4NU	mitochondrial calcium uniporter	ENSMUSP00000020312	ENSRNOP00000067686
ENOG410V4NT	erythrocyte membrane protein band 4.1-like	ENSMUSP00000029155, ENSMUSP00000079098, ENSMUSP00000055122	ENSRNOP00000022849, ENSRNOP00000058049, ENSRNOP00000027151, ENSRNOP00000052108
ENOG410V4NC	R3H domain containing 1	ENSMUSP00000043103	ENSRNOP00000039268, ENSRNOP00000005372
ENOG410V4ND	zinc finger SWIM-type containing 2	ENSMUSP00000044913	ENSRNOP00000039875
ENOG410V4NG	programmed cell death 1	ENSMUSP00000027507	ENSRNOP00000067189, ENSRNOP00000025743
ENOG410V4NF	ADP-ribosylation factor-like	ENSMUSP00000027684, ENSMUSP00000032196	ENSRNOP00000010053, ENSRNOP00000008163
