ortholog	function	Homo_sapiens	Pan_troglodytes
ENOG410V9WP	OTU domain containing	ENSP00000305926, ENSP00000462729, ENSP00000358131	ENSPTRP00000002112, ENSPTRP00000011725
ENOG410V9WZ	Tyrosinase-related protein 1	ENSP00000392762, ENSP00000373570	ENSPTRP00000035527, ENSPTRP00000010137
ENOG410V9WY	Component of oligomeric golgi complex 5	ENSP00000297135	ENSPTRP00000033525
ENOG410VEP8	Zinc finger, CCHC domain containing 9	ENSP00000254037	ENSPTRP00000029184
ENOG410VEP9	Zinc finger and BTB domain containing 3	ENSP00000378286	ENSPTRP00000006505
ENOG410VEP2	lactate dehydrogenase A-like 6B	ENSP00000302393	ENSPTRP00000012181
ENOG410VEP3	Lysophospholipase-like 1	ENSP00000355895	ENSPTRP00000003341
ENOG410VEP1	Fibrinogen beta chain	ENSP00000306099	ENSPTRP00000028385
ENOG410VEP6	Inherit from KOG: (regulatory) subunit	ENSP00000335579	ENSPTRP00000023514
ENOG410VEP4	TAP binding protein (tapasin)	ENSP00000372684, ENSP00000404833, ENSP00000372542, ENSP00000407195, ENSP00000378546	ENSPTRP00000030816
ENOG410VEPR	Zinc finger, matrin-type 5	ENSP00000344241	ENSPTRP00000024512
ENOG410VEPP	aldehyde dehydrogenase 8 family, member A1	ENSP00000265605	ENSPTRP00000031795
ENOG410VEPV	TDP-glucose 4,6-dehydratase	ENSP00000261296	ENSPTRP00000010139
ENOG410VEPT	bradykinin receptor B1	ENSP00000216629	ENSPTRP00000052508
ENOG410VEPU	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSP00000344115	ENSPTRP00000013985
ENOG410VEPJ	Ribosome binding factor A	ENSP00000305696	ENSPTRP00000017223
ENOG410VEPH	Fc fragment of IgA, receptor for	ENSP00000347714, ENSP00000459762, ENSP00000461291	ENSPTRP00000009446
ENOG410VEPI	G patch domain and ankyrin repeats 1	ENSP00000388586, ENSP00000390746, ENSP00000399890, ENSP00000211377, ENSP00000389339, ENSP00000372926, ENSP00000365057	ENSPTRP00000030672
ENOG410VEPM	Ribosomal protein L11	ENSP00000308897	ENSPTRP00000006759
ENOG410VEPC	taste receptor, type 2	ENSP00000240687, ENSP00000461158, ENSP00000240615, ENSP00000458498, ENSP00000458761, ENSP00000459504	ENSPTRP00000008011, ENSPTRP00000008012
ENOG410VEPA	NOP16 nucleolar protein homolog (Yeast)	ENSP00000373810	ENSPTRP00000029988
ENOG410VEPD	crystallin, beta B1	ENSP00000215939	ENSPTRP00000024446
ENOG410VEPE	Tectonic family member 2	ENSP00000304941	ENSPTRP00000009529
ENOG410V4G9	Elastin microfibril interfacer 1	ENSP00000369677	ENSPTRP00000020186
ENOG410V4G6	deoxyguanosine kinase	ENSP00000264093	ENSPTRP00000020717
ENOG410V4G7	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation	ENSP00000436049	ENSPTRP00000006042
ENOG410V4GP	Kinesin family member	ENSP00000265529, ENSP00000287152	ENSPTRP00000025631, ENSPTRP00000030982
ENOG410V4GV	prostaglandin F2 receptor negative regulator	ENSP00000376899	ENSPTRP00000001983
ENOG410V4GW	FIC domain containing	ENSP00000446479	ENSPTRP00000009167
ENOG410V4GT	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	ENSP00000306397	ENSPTRP00000024815, ENSPTRP00000018458
ENOG410V4GJ	coagulation factor XII (Hageman factor)	ENSP00000253496, ENSP00000372224	ENSPTRP00000030035, ENSPTRP00000027328
ENOG410V4GH	ATP-binding cassette sub-family A ABC1 member	ENSP00000342216, ENSP00000376443, ENSP00000344155, ENSP00000272895, ENSP00000363868, ENSP00000269081, ENSP00000411096, ENSP00000301732, ENSP00000269080, ENSP00000284425, ENSP00000359245, ENSP00000263094	ENSPTRP00000022036, ENSPTRP00000016277, ENSPTRP00000049117, ENSPTRP00000013070, ENSPTRP00000044984, ENSPTRP00000032770, ENSPTRP00000042439, ENSPTRP00000016286, ENSPTRP00000016272
ENOG410V4GB	Protocadherin 17	ENSP00000367151	ENSPTRP00000053479
ENOG410V4GG	Synaptotagmin-like	ENSP00000263033	ENSPTRP00000038001
ENOG410VDKZ	chromosome 1 open reading frame 110	ENSP00000356886	ENSPTRP00000051598
ENOG410VDKS	Leucine rich repeat containing 42	ENSP00000318185	ENSPTRP00000040415
ENOG410VDKQ	Myogenin (Myogenic factor 4)	ENSP00000241651	ENSPTRP00000044084
ENOG410VDK8	Coiled-coil domain containing 111	ENSP00000313816	ENSPTRP00000028539
ENOG410VK8X	chromosome 11 open reading frame 34	ENSP00000341412	ENSPTRP00000007365
ENOG410V43G	BTB POZ domain containing	ENSP00000367471, ENSP00000261721, ENSP00000376337, ENSP00000255608	ENSPTRP00000012623, ENSPTRP00000022731
ENOG410V43D	glutathione synthetase	ENSP00000216951	ENSPTRP00000023030
ENOG410V43E	Microtubule associated monoxygenase, calponin and LIM domain containing	ENSP00000416015, ENSP00000256194	ENSPTRP00000024188, ENSPTRP00000005885
ENOG410V43B	Protein phosphatase 2, regulatory subunit B''	ENSP00000264977, ENSP00000375080	ENSPTRP00000026587
ENOG410V43A	myosin Ie	ENSP00000460038, ENSP00000288235, ENSP00000344871	ENSPTRP00000012180, ENSPTRP00000049036
ENOG410V43N	Leucine-rich repeats and WD repeat domain containing 1	ENSP00000292616	ENSPTRP00000033454
ENOG410V43M	Lipoprotein lipase	ENSP00000261292, ENSP00000309757	ENSPTRP00000034315, ENSPTRP00000017022
ENOG410V43J	collagen, type	ENSP00000264828, ENSP00000447062, ENSP00000360882, ENSP00000297268, ENSP00000369889, ENSP00000449275, ENSP00000447422, ENSP00000448931, ENSP00000304408, ENSP00000448715, ENSP00000448701, ENSP00000348385, ENSP00000363840, ENSP00000359603, ENSP00000225964	ENSPTRP00000036359, ENSPTRP00000041995, ENSPTRP00000047036, ENSPTRP00000017783, ENSPTRP00000033204
ENOG410V43K	DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)	ENSP00000199320	ENSPTRP00000028961
ENOG410V43H	Mitochondrial ribosomal protein S25	ENSP00000253686	ENSPTRP00000025285
ENOG410V43I	Asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)	ENSP00000299626	ENSPTRP00000007077
ENOG410V43V	family with sequence similarity	ENSP00000339207, ENSP00000377807	ENSPTRP00000038400
ENOG410V43W	nitric oxide associated 1	ENSP00000264230	ENSPTRP00000027668
ENOG410V43T	N-terminal asparagine	ENSP00000287706	ENSPTRP00000013307
ENOG410V43U	kiaa0284	ENSP00000404151	ENSPTRP00000011575
ENOG410V43S	Reticulon 4 receptor-like	ENSP00000330631, ENSP00000335397	ENSPTRP00000014575
ENOG410V43P	ddb1 and cul4 associated factor 7	ENSP00000308344	ENSPTRP00000016155
ENOG410V43Q	copine III	ENSP00000373343, ENSP00000216775, ENSP00000411904, ENSP00000290776, ENSP00000268720, ENSP00000317257, ENSP00000329748, ENSP00000244751, ENSP00000198765	ENSPTRP00000013913, ENSPTRP00000025159, ENSPTRP00000010504, ENSPTRP00000008242, ENSPTRP00000057407, ENSPTRP00000030935, ENSPTRP00000045244, ENSPTRP00000034892
ENOG410V43Z	CCR4-NOT transcription complex subunit	ENSP00000355279, ENSP00000285896	ENSPTRP00000029810, ENSPTRP00000061148
ENOG410V43X	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase	ENSP00000376570, ENSP00000364150, ENSP00000376465, ENSP00000447852, ENSP00000436604, ENSP00000269195, ENSP00000348668	ENSPTRP00000021512, ENSPTRP00000016954, ENSPTRP00000049150, ENSPTRP00000043056, ENSPTRP00000008459
ENOG410V43Y	ELAV (embryonic lethal, abnormal vision, Drosophila)-like	ENSP00000349594, ENSP00000369460, ENSP00000385269, ENSP00000352162	ENSPTRP00000001244, ENSPTRP00000017713, ENSPTRP00000017919, ENSPTRP00000035622
ENOG410V7Q0	FERM domain containing	ENSP00000283309	ENSPTRP00000032127
ENOG410V437	This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)	ENSP00000419970	ENSPTRP00000033034
ENOG410V434	mitogen-activated protein kinase kinase kinase	ENSP00000265026, ENSP00000448689	ENSPTRP00000027014, ENSPTRP00000008543
ENOG410V435	hyaluronoglucosaminidase 3	ENSP00000458171, ENSP00000337425	ENSPTRP00000025808
ENOG410V433	bicaudal D homolog	ENSP00000281474, ENSP00000349351	ENSPTRP00000050152, ENSPTRP00000036084
ENOG410V430	translocase of inner mitochondrial membrane 21 homolog (yeast)	ENSP00000169551	ENSPTRP00000017178
ENOG410V431	SH2B adaptor protein	ENSP00000321221, ENSP00000440273, ENSP00000455175	ENSPTRP00000053639, ENSPTRP00000033449
ENOG410V439	Zinc finger protein 622	ENSP00000310042	ENSPTRP00000028727
ENOG410VK87	Ubiquitin-fold modifier 1	ENSP00000239878	ENSPTRP00000059765
ENOG410V7QE	member RAS oncogene family	ENSP00000322594, ENSP00000358466	ENSPTRP00000060322, ENSPTRP00000007306
ENOG410VJWG	immunoglobulin lambda-like polypeptide	ENSP00000329312, ENSP00000431254	ENSPTRP00000060622
ENOG410V5ZH	Transmembrane protease serine 15	ENSP00000284885	ENSPTRP00000023779
ENOG410V5ZI	calpain 2, (m II) large subunit	ENSP00000279247, ENSP00000381758, ENSP00000380349, ENSP00000271971, ENSP00000295006, ENSP00000355837	ENSPTRP00000006670, ENSPTRP00000058028, ENSPTRP00000056265, ENSPTRP00000003379, ENSPTRP00000003544
ENOG410V5ZK	Phosphopantothenoylcysteine synthetase	ENSP00000361642	ENSPTRP00000052446
ENOG410V5ZM	Olfactory receptor	ENSP00000432417	ENSPTRP00000006297
ENOG410V5ZN	calcium binding and coiled-coil domain 1	ENSP00000449960	ENSPTRP00000043174
ENOG410V5ZA	coiled-coil domain containing 19	ENSP00000357079	ENSPTRP00000057675
ENOG410V5ZB	LIM domain containing preferred translocation partner in lipoma	ENSP00000200457, ENSP00000318089	ENSPTRP00000027063, ENSPTRP00000033404
ENOG410V5ZC	FCH domain only	ENSP00000393776, ENSP00000252771	ENSPTRP00000029078, ENSPTRP00000018230
ENOG410V5ZE	eyes absent homolog	ENSP00000333640, ENSP00000347294, ENSP00000342626	ENSPTRP00000034805, ENSPTRP00000031782, ENSPTRP00000023365
ENOG410V5ZF	chromosome 9 open reading frame 24	ENSP00000297623	ENSPTRP00000035709
ENOG410V5ZX	WD repeat domain 3	ENSP00000308179	ENSPTRP00000001997
ENOG410V5ZY	PDZ domain containing RING finger	ENSP00000384197	ENSPTRP00000026085, ENSPTRP00000050174
ENOG410V5ZZ	RALBP1 associated Eps domain containing	ENSP00000258062	ENSPTRP00000031840
ENOG410V5ZP	ArfGAP with SH3 domain, ankyrin repeat and PH domain	ENSP00000350297, ENSP00000281419	ENSPTRP00000020009, ENSPTRP00000035200
ENOG410V5ZQ	dehydrogenase reductase SDR family member 7B	ENSP00000378887	ENSPTRP00000015173
ENOG410V5ZR	family with sequence similarity 65, member C	ENSP00000045083	ENSPTRP00000023427
ENOG410V5ZS	ankylosis, progressive homolog (mouse)	ENSP00000284268	ENSPTRP00000028723
ENOG410V5ZT	centrin, EF-hand protein	ENSP00000359300, ENSP00000469720, ENSP00000319052	ENSPTRP00000038570, ENSPTRP00000049475
ENOG410V5ZU	SMYD family member 5	ENSP00000374152	ENSPTRP00000020694
ENOG410V5ZV	origin recognition complex subunit	ENSP00000257789	ENSPTRP00000031448
ENOG410V5ZW	isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae)	ENSP00000417580	ENSPTRP00000020017
ENOG410V5Z8	v-mos Moloney murine sarcoma viral oncogene homolog	ENSP00000310722	ENSPTRP00000034701
ENOG410V5Z9	NADPH oxidase activator 1	ENSP00000342848	ENSPTRP00000043465
ENOG410V5Z1	Alkaline phosphatase	ENSP00000363965, ENSP00000295463, ENSP00000295453, ENSP00000375881	ENSPTRP00000022289, ENSPTRP00000022287, ENSPTRP00000000520
ENOG410V5Z2	Transmembrane protein 182	ENSP00000394178	ENSPTRP00000021083
ENOG410V5Z3	STEAP family member	ENSP00000369419, ENSP00000376822, ENSP00000287908	ENSPTRP00000033152, ENSPTRP00000021230, ENSPTRP00000047880
ENOG410V5Z5	suppressor of defective silencing 3 homolog (S. cerevisiae)	ENSP00000443988	ENSPTRP00000009363
ENOG410V5Z7	CDK5 regulatory subunit associated protein 3	ENSP00000344683	ENSPTRP00000060664
ENOG410VAW8	Olfactory receptor	ENSP00000339726	ENSPTRP00000041964
ENOG410VAW6	chromosome 11 open reading frame 70	ENSP00000414390	ENSPTRP00000007245
ENOG410VAW3	Lymphoid-restricted membrane protein	ENSP00000346442	ENSPTRP00000044240
ENOG410VAW1	Cell division cycle associated 7	ENSP00000306968	ENSPTRP00000021608
ENOG410VAW0	Family with sequence similarity 110, member B	ENSP00000355204	ENSPTRP00000034709
ENOG410VAWN	Zinc finger, AN1-type domain 6	ENSP00000261749	ENSPTRP00000012581
ENOG410VAWM	Hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (Trifunctional protein), alpha subunit	ENSP00000370023	ENSPTRP00000020159
ENOG410VAWK	Glycolipid transfer protein	ENSP00000315263	ENSPTRP00000060721, ENSPTRP00000049917
ENOG410VAWI	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity)	ENSP00000392257	ENSPTRP00000031569
ENOG410VAWG	chromosome 2 open reading frame 62	ENSP00000289388	ENSPTRP00000022080
ENOG410VAWF	RAB11 family interacting protein 5 (class I)	ENSP00000258098	ENSPTRP00000020693
ENOG410VAWE	Nipped-B homolog (Drosophila)	ENSP00000282516	ENSPTRP00000048198
ENOG410VAWB	tripartite motif containing 44	ENSP00000299413	ENSPTRP00000006087
ENOG410VAWA	CCHC-type zinc finger, nucleic acid binding protein	ENSP00000410769	ENSPTRP00000026477
ENOG410VAWY	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	ENSP00000321853	ENSPTRP00000014569
ENOG410VAWX	Endonuclease domain containing 1	ENSP00000278505, ENSP00000461026	ENSPTRP00000060757
ENOG410VAWW	GC-rich sequence DNA-binding factor	ENSP00000458262, ENSP00000328992	ENSPTRP00000023857
ENOG410VAWV	pleckstrin homology domain containing, family S member 1	ENSP00000358316	ENSPTRP00000005219
ENOG410VAWU	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	ENSP00000244669	ENSPTRP00000050168
ENOG410VAWT	Transforming growth factor beta regulator 4	ENSP00000258770	ENSPTRP00000032737
ENOG410VAWS	Carbonic anhydrase IX	ENSP00000367608	ENSPTRP00000035776
ENOG410VAWR	Chromosome 1 open reading frame 65	ENSP00000355840	ENSPTRP00000003377
ENOG410VAWQ	Transmembrane protein 106B	ENSP00000400471, ENSP00000379901	ENSPTRP00000008323, ENSPTRP00000032355
ENOG410VAWP	Tripartite motif-containing protein	ENSP00000395086, ENSP00000327604, ENSP00000388299, ENSP00000330216, ENSP00000272395, ENSP00000431987, ENSP00000332969	ENSPTRP00000054547, ENSPTRP00000006238, ENSPTRP00000051815, ENSPTRP00000040843, ENSPTRP00000007166, ENSPTRP00000006229, ENSPTRP00000006240, ENSPTRP00000059923
ENOG410VXS5	chromosome X open reading frame 31	ENSP00000367111	ENSPTRP00000047435
ENOG410VXSS	Unknown	ENSP00000325219	ENSPTRP00000060705
ENOG410VXSU	Unknown	ENSP00000328874, ENSP00000381127	ENSPTRP00000034508
ENOG410VJIG	cortexin 2	ENSP00000406145	ENSPTRP00000061391
ENOG410VJIJ	Lymphocyte antigen 6 complex, locus G6E	ENSP00000448748, ENSP00000449142, ENSP00000448874, ENSP00000447045, ENSP00000372910, ENSP00000447438	ENSPTRP00000030683
ENOG410VJIW	guanylate cyclase activator 2a (guanylin)	ENSP00000349493	ENSPTRP00000043872
ENOG410VJIS	interleukin 31	ENSP00000366234	ENSPTRP00000049840
ENOG410VJIZ	S100 calcium binding protein A11	ENSP00000271638	ENSPTRP00000002223
ENOG410VJI6	succinate dehydrogenase complex assembly factor 1	ENSP00000368165	ENSPTRP00000048782
ENOG410VJI5	zymogen granule protein 16 homolog B (rat)	ENSP00000371715	ENSPTRP00000013095
ENOG410VJI2	transmembrane protein 239	ENSP00000369959	ENSPTRP00000022575
ENOG410V6J5	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)	ENSP00000406797, ENSP00000355325, ENSP00000402406, ENSP00000406878, ENSP00000404585, ENSP00000364016, ENSP00000414770, ENSP00000394155, ENSP00000372723	ENSPTRP00000010438, ENSPTRP00000030774
ENOG410V6JW	Zinc finger protein	ENSP00000367300, ENSP00000417470	ENSPTRP00000047574, ENSPTRP00000033975
ENOG410WDSU	Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis	ENSP00000313691	ENSPTRP00000029373
ENOG410V9IE	KIN, antigenic determinant of recA protein homolog (Mouse)	ENSP00000368881	ENSPTRP00000003854
ENOG410V9I6	Ankyrin repeat domain 46	ENSP00000335287	ENSPTRP00000035010
ENOG410VBUR	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	ENSP00000284136	ENSPTRP00000033108
ENOG410VBUP	Transmembrane protein 144	ENSP00000296529	ENSPTRP00000028413
ENOG410VKMS	islet amyloid polypeptide	ENSP00000240652	ENSPTRP00000008119
ENOG410VKMZ	chemokine (C-C motif) ligand 19	ENSP00000308815	ENSPTRP00000035734
ENOG410VKMY	cytochrome c oxidase, subunit VIIIa	ENSP00000321260	ENSPTRP00000006561
ENOG410VKMD	chemokine (C-C motif) ligand 17	ENSP00000219244	ENSPTRP00000013921
ENOG410VKMC	psoriasis susceptibility 1 candidate 2	ENSP00000414952, ENSP00000403456, ENSP00000398734, ENSP00000259845, ENSP00000373022, ENSP00000390931	ENSPTRP00000030626
ENOG410VKMA	catenin beta interacting protein 1	ENSP00000366466	ENSPTRP00000045832
ENOG410VBU1	epididymal sperm binding protein 1	ENSP00000340660	ENSPTRP00000048580
ENOG410V9N9	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSP00000289746	ENSPTRP00000014447
ENOG410WC1X	Unknown	ENSP00000317943	ENSPTRP00000001561
ENOG410WC1Y	Inherit from KOG: voltage-dependent anion channel	ENSP00000400587	ENSPTRP00000060226
ENOG410WC1T	Unknown	ENSP00000364865	ENSPTRP00000053335
ENOG410WC1V	chromosome X open reading frame 1	ENSP00000386149, ENSP00000472287	ENSPTRP00000059782
ENOG410WC1P	Unknown	ENSP00000406521	ENSPTRP00000057837
ENOG410WC1M	Unknown	ENSP00000403688	ENSPTRP00000060163
ENOG410WC1N	Unknown	ENSP00000410360	ENSPTRP00000059969
ENOG410WC1H	Unknown	ENSP00000427764	ENSPTRP00000061390
ENOG410WC1I	KRAB box	ENSP00000457704	ENSPTRP00000057239
ENOG410WC1G	Tektin family	ENSP00000383520	ENSPTRP00000059193
ENOG410WC1A	Unknown	ENSP00000422101	ENSPTRP00000060118
ENOG410WC1B	Inherit from KOG: tetratricopeptide repeat domain	ENSP00000434236	ENSPTRP00000009891
ENOG410WC1C	Unknown	ENSP00000384224	ENSPTRP00000060809
ENOG410V51I	Zinc finger, CCHC domain containing 4	ENSP00000303468	ENSPTRP00000027482
ENOG410V51H	ATPase family, AAA domain containing 1	ENSP00000339016	ENSPTRP00000004742
ENOG410V51K	sphingomyelin synthase	ENSP00000354829, ENSP00000351981	ENSPTRP00000004317, ENSPTRP00000041167
ENOG410V51J	ATPase, class VI, type	ENSP00000357475, ENSP00000284509, ENSP00000283558, ENSP00000332756, ENSP00000321195	ENSPTRP00000026946, ENSPTRP00000040761, ENSPTRP00000010278, ENSPTRP00000038477, ENSPTRP00000012069
ENOG410V51M	Zinc finger, NFX1-type containing 1	ENSP00000360817	ENSPTRP00000023404
ENOG410V51N	ALX homeobox 3	ENSP00000358807	ENSPTRP00000001851
ENOG410V51A	RING finger protein	ENSP00000340979, ENSP00000354571	ENSPTRP00000045260, ENSPTRP00000028380
ENOG410V51D	paraneoplastic Ma antigen	ENSP00000359286, ENSP00000469445, ENSP00000429344	ENSPTRP00000039091, ENSPTRP00000060783
ENOG410V51G	Involved in the biogenesis of the 60S ribosomal subunit (By similarity)	ENSP00000354040	ENSPTRP00000003778
ENOG410V51F	transmembrane protein 70	ENSP00000312599	ENSPTRP00000034830
ENOG410V51Y	GTPase, IMAP family member	ENSP00000302833, ENSP00000223293	ENSPTRP00000049047, ENSPTRP00000047559
ENOG410V51Z	prodynorphin	ENSP00000217305	ENSPTRP00000022551
ENOG410V51Q	N-terminal EF-hand calcium binding protein	ENSP00000387380, ENSP00000307449, ENSP00000246190	ENSPTRP00000022978, ENSPTRP00000014345, ENSPTRP00000034912
ENOG410V51S	oxysterol binding protein-like	ENSP00000376293, ENSP00000315410, ENSP00000007414	ENSPTRP00000042073, ENSPTRP00000032463, ENSPTRP00000059063
ENOG410V51U	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Also essential during biosynthesis of the molybdenum cofactor. Acts by mediating the C-terminal thiocarboxylation of sulfur carriers urm1 and mocs2a. Its N-terminus first activates urm1 and mocs2a as acyl-adenylates (-COAMP), then the persulfide sulfur on the catalytic cysteine is transferred to urm1 and mocs2a to form thiocarboxylation (-COSH) of their C-terminus. The reaction probably involves hydrogen sulfide that is generated from the persulfide intermediate and that acts as nucleophile towards urm1 and mocs2a. Subsequently, a transient disulfide bond is formed. Does not use thiosulfate as sulfur donor	ENSP00000244051	ENSPTRP00000023439
ENOG410V51V	sperm-tail PG-rich repeat containing 1	ENSP00000337461	ENSPTRP00000000603
ENOG410V9NY	n-acetylglutamate synthase	ENSP00000293404	ENSPTRP00000015750
ENOG410V519	Olfactory receptor	ENSP00000403427, ENSP00000392324, ENSP00000399592, ENSP00000373141, ENSP00000404787, ENSP00000366352, ENSP00000399062, ENSP00000373043	ENSPTRP00000057876
ENOG410V518	Angel homolog	ENSP00000355929, ENSP00000251089	ENSPTRP00000011160, ENSPTRP00000003315
ENOG410V511	dephospho-CoA kinase domain containing	ENSP00000341504	ENSPTRP00000015800
ENOG410V510	Tubulin tyrosine ligase-like family, member	ENSP00000260505, ENSP00000377043, ENSP00000345294	ENSPTRP00000001552, ENSPTRP00000051272, ENSPTRP00000058601
ENOG410V513	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSP00000265773, ENSP00000239027, ENSP00000350720	ENSPTRP00000017884, ENSPTRP00000004849
ENOG410V512	Solute carrier family 13	ENSP00000461823, ENSP00000297282, ENSP00000279027, ENSP00000194130, ENSP00000406220, ENSP00000392411	ENSPTRP00000033801, ENSPTRP00000014756, ENSPTRP00000033626, ENSPTRP00000023355, ENSPTRP00000015222
ENOG410V515	kiaa1279	ENSP00000354848	ENSPTRP00000046030
ENOG410V514	Eph receptor B6	ENSP00000376684, ENSP00000457802	ENSPTRP00000033908
ENOG410V517	matrix metallopeptidase 23B	ENSP00000348308	ENSPTRP00000000055
ENOG410V516	cholinergic receptor, nicotinic	ENSP00000289957, ENSP00000299565	ENSPTRP00000054732, ENSPTRP00000012554
ENOG410V62X	doublecortin-like kinase	ENSP00000303887, ENSP00000394484, ENSP00000255448	ENSPTRP00000028330, ENSPTRP00000009841, ENSPTRP00000025422
ENOG410V62U	Transmembrane protein 82	ENSP00000364938	ENSPTRP00000052806
